            Guess        True
0      356.953918  356.946408
1      330.253021  330.307013
2      395.978607  395.954034
3      377.534119  377.496390
4      312.090302  311.990432
5      350.109772  350.052320
6      313.826111  313.716335
7      375.503296  375.471847
8      351.635925  351.651887
9      416.653381  416.628991
10     380.659485  380.690751
11     420.553436  420.613071
12     321.617004  321.593319
13     334.421112  334.334972
14     416.184143  416.196209
15     356.610596  356.556989
16     430.530426  430.596289
17     340.162018  340.145061
18     352.586578  352.558676
19     354.970032  355.009316
20     398.034393  398.018642
21     311.867065  311.775561
22     312.247528  312.143390
23     379.118744  379.128140
24     414.183746  414.198914
25     310.191498  310.211156
26     372.398193  372.358513
27     348.239197  348.177807
28     310.319641  310.388332
29     315.370422  315.454792
30     390.802856  390.759482
31     322.270538  322.250362
32     313.887299  313.832698
33     316.842743  316.812661
34     327.429260  327.504482
35     319.166809  319.200924
36     348.590973  348.527064
37     376.770935  376.768578
38     333.215698  333.234864
39     310.947235  310.862155
40     337.782684  337.786925
41     318.297516  318.225894
42     424.322540  424.379501
43     311.803741  311.710798
44     390.531494  390.520943
45     318.291412  318.222916
46     431.829071  431.853633
47     321.179779  321.224583
48     332.465302  332.484134
49     421.024200  421.037403
50     370.352295  370.310375
51     372.561615  372.532413
52     310.681122  310.623679
53     346.672546  346.669297
54     314.818115  314.876878
55     427.400696  427.426380
56     348.320221  348.362703
57     310.683472  310.661461
58     311.104065  311.049168
59     327.508087  327.568903
60     380.483368  380.431205
61     334.698730  334.709880
62     415.122467  415.137380
63     427.913879  427.930049
64     315.306305  315.174292
65     322.243683  322.305941
66     430.535461  430.529952
67     424.847900  424.890804
68     380.644775  380.594486
69     319.161438  319.186300
70     323.809784  323.774886
71     344.764313  344.835030
72     321.772430  321.716182
73     358.870422  358.856368
74     397.089111  397.080940
75     313.128174  313.110453
76     312.100677  312.008912
77     366.950073  366.901519
78     312.461365  312.532212
79     311.485718  311.415774
80     431.097198  431.185954
81     321.028931  320.992640
82     334.189941  334.171093
83     343.296600  343.382919
84     336.429413  336.419893
