            Guess        True
0      388.992554  389.509089
1      339.675354  339.791616
2      429.472076  429.585479
3      313.525055  313.527108
4      426.926910  427.211403
5      324.074982  324.226926
6      360.398254  360.633388
7      311.462860  311.462622
8      311.824127  311.826868
9      428.246429  428.200212
10     310.166351  310.191704
11     422.022034  422.423209
12     310.483551  310.484434
13     325.055298  325.221930
14     313.904266  313.893084
15     322.776031  322.634708
16     333.471985  333.664844
17     320.816681  320.879912
18     343.386597  343.563358
19     310.743561  310.730242
20     351.686646  351.820075
21     319.256775  319.334516
22     311.402039  311.399885
23     319.255432  319.331549
24     323.572540  323.695557
25     345.092621  345.161572
26     421.614746  422.041581
27     310.658875  310.642570
28     368.378235  368.676517
29     317.309998  317.247464
30     371.474060  371.906949
31     310.508636  310.500133
32     310.809662  310.805963
33     333.521545  333.741204
34     433.632446  433.594806
35     349.100006  349.189905
36     315.270142  315.285529
37     325.285248  325.409691
38     430.498322  430.267318
39     320.633850  320.715180
40     333.658112  333.755013
41     331.192352  331.134085
42     392.863403  393.387560
43     313.358826  313.386358
44     311.799133  311.779065
45     409.894012  410.421578
46     313.504822  313.510660
47     311.358063  311.332866
48     323.166779  323.316286
49     353.116089  353.242116
50     354.884766  355.106054
51     428.051025  428.399457
52     319.288544  319.353167
53     389.256744  389.774287
54     312.244141  312.233605
55     324.999023  325.122323
56     314.267303  314.288096
57     331.377777  331.551747
58     321.396057  321.477968
59     338.881897  339.073865
60     310.469269  310.478301
61     312.957062  312.962555
62     366.904297  367.145336
63     367.487061  367.792472
64     310.371521  310.381877
65     375.594666  375.914418
66     358.979309  359.180312
67     431.616516  431.575436
68     315.712189  315.612308
69     311.830170  311.810596
70     413.713745  414.102030
71     310.479370  310.503767
72     315.416901  315.423100
73     310.887054  310.884369
74     323.161255  323.309566
75     361.407257  361.551530
76     433.940491  434.033745
77     310.550171  310.512050
78     332.048920  332.226365
79     320.684875  320.800942
80     310.259308  310.235947
81     325.480621  325.601944
82     312.373871  312.364280
83     331.413818  331.615344
84     350.826385  351.055497
85     355.538757  355.720094
86     312.832916  312.838507
87     413.775940  414.212702
88     319.204041  319.269841
89     326.296234  326.341088
90     388.662018  389.141789
91     363.952576  364.083909
92     310.656006  310.655823
93     311.622955  311.615833
94     417.791504  418.265770
95     312.376678  312.381811
96     310.805237  310.810152
97     344.562195  344.629080
98     310.848022  310.845077
99     314.268707  314.260225
100    311.290588  311.290286
101    311.166748  311.149393
102    325.478912  325.406928
103    313.385101  313.382020
104    411.848969  412.364387
105    312.031708  312.012198
106    331.423401  331.409867
107    324.549713  324.701422
108    327.776886  327.917446
109    317.375732  317.411617
110    325.705017  325.640208
111    414.823303  415.046954
112    310.947327  310.935145
113    311.343842  311.341665
114    311.768280  311.759203
115    407.997284  408.509495
116    320.828735  320.921307
117    318.291504  318.350931
118    310.847443  310.849610
119    312.395691  312.375014
120    389.371094  389.915534
121    381.450500  381.713537
122    407.979126  408.498365
123    312.865692  312.856181
124    322.653076  322.748392
125    330.376923  330.404672
126    311.425018  311.411245
127    330.193115  330.405662
128    310.562927  310.582019
129    394.701233  395.226952
130    315.556976  315.569814
131    310.426056  310.407058
132    325.559998  325.729365
133    310.773224  310.769273
134    424.010437  424.394999
135    311.331512  311.307667
136    353.305176  353.340718
137    331.228668  331.414143
138    428.706421  428.291365
139    421.892609  422.307978
140    421.079559  421.484957
141    322.972290  323.026258
142    313.787323  313.805662
143    310.326111  310.335402
144    311.741730  311.746861
145    322.246948  322.354320
146    314.491638  314.561956
147    417.743774  418.227212
148    318.293060  318.352588
149    330.714600  330.887862
150    352.445557  352.622218
151    376.135803  376.333564
152    314.577972  314.584619
153    311.630615  311.616016
154    403.707642  403.651607
155    365.730896  366.073350
156    353.890533  354.022939
157    389.154785  389.525226
158    312.043243  312.039405
159    324.982544  325.099428
160    325.574524  325.750281
161    351.453735  351.571661
162    311.829895  311.830467
163    347.731354  347.904017
164    311.824310  311.826913
165    371.533569  372.023485
166    319.097778  319.165243
167    310.677185  310.676942
168    313.370636  313.367456
169    311.911163  311.911910
170    310.562622  310.544221
171    310.228424  310.260328
172    325.975311  326.104375
173    310.722656  310.737076
174    323.304962  323.400688
175    357.785950  358.017780
176    310.235413  310.269053
177    312.278870  312.283836
178    326.174622  326.311310
179    366.812073  367.017586
180    310.843903  310.846419
181    318.570984  318.647905
182    413.095673  413.360249
183    310.363556  310.413648
184    330.759399  330.959312
185    380.887756  381.439092
186    318.907684  318.976717
187    315.008331  315.037501
188    314.626465  314.656988
189    313.528717  313.525560
190    317.674622  317.731977
191    337.119110  337.129160
192    317.375916  317.411422
193    319.954529  320.063273
194    310.803406  310.809369
195    311.379913  311.372057
196    312.024200  312.012930
197    340.691437  340.884616
198    310.369629  310.400800
199    311.495239  311.507819
200    320.497955  320.585666
201    425.339874  424.851086
202    330.535492  330.592835
203    417.902588  418.351548
204    326.063568  326.226628
205    313.133301  313.172602
206    332.109772  332.321822
207    327.136871  327.305508
208    378.829803  379.225809
209    320.962891  321.043111
210    315.639954  315.679904
211    313.254028  313.239256
212    313.655609  313.690040
213    313.136139  313.161785
214    310.424896  310.431724
215    310.470032  310.481691
216    312.299011  312.275492
217    311.281647  311.279731
218    311.577423  311.579542
219    426.106293  426.479659
220    313.549377  313.357552
221    310.715851  310.730121
222    331.485016  331.590923
223    311.763397  311.758075
224    366.782471  366.967546
225    379.225098  379.460486
226    320.651062  320.741923
227    311.920715  311.915065
228    318.274963  318.363420
229    313.943787  313.944666
230    310.979767  310.990192
231    322.518829  322.610310
232    311.094482  311.101393
233    313.377838  313.369625
234    310.372894  310.390244
235    311.779449  311.761570
236    311.643921  311.660605
237    330.376648  330.360662
238    318.000610  318.079216
239    316.342041  316.359501
240    311.185974  311.175649
241    310.596344  310.561814
242    317.665924  317.723710
243    316.124786  316.130635
244    311.596436  311.598821
245    409.899048  410.424404
246    311.307098  311.287057
247    367.035980  367.351085
248    328.300140  328.487211
249    396.321655  396.863350
250    310.688202  310.661696
251    311.842346  311.837756
252    322.200684  322.285278
253    429.441528  429.553371
254    351.419373  351.487712
255    339.567993  339.619652
256    310.729156  310.737663
257    310.194794  310.204343
258    313.512238  313.510939
259    333.363464  333.563073
260    310.276306  310.301032
261    324.186462  324.319072
262    320.828674  320.919741
263    310.770569  310.749319
264    385.795685  386.304829
265    313.589294  313.590307
266    317.165009  317.240172
267    358.519775  358.762518
268    310.608337  310.498245
269    311.518494  311.425747
270    313.127563  313.107938
271    344.560242  344.786907
272    311.645264  311.650016
273    311.803436  311.854556
274    316.675629  316.658661
275    310.445068  310.452844
276    344.168762  344.234905
277    310.623596  310.633668
278    353.282593  353.435754
279    323.096924  323.197063
280    314.583679  314.654369
281    355.238708  355.445543
282    394.356445  394.846710
283    330.870026  330.918884
284    373.038727  373.547838
285    396.647003  397.187846
286    431.183899  431.412170
287    326.706177  326.776232
288    358.865173  359.023972
289    312.856598  312.845003
290    330.736145  330.917616
291    310.884918  310.888341
292    372.437683  372.709578
293    343.277679  343.348022
294    384.140472  384.658493
295    315.254944  315.261080
296    340.619019  340.686516
297    423.341370  423.517807
298    337.266174  337.463108
299    368.073059  368.214219
300    313.503448  313.508312
301    317.130310  317.178572
302    328.749847  328.712123
303    310.928436  310.934459
304    314.556763  314.625891
305    311.064270  311.044101
306    407.997559  408.509689
307    391.987366  391.954448
308    311.343201  311.334977
309    310.631287  310.635887
310    336.580322  336.565949
311    337.546082  337.751538
312    327.031494  327.180383
313    321.356812  321.402410
314    324.386658  324.521648
315    357.818481  357.970490
316    312.514679  312.571807
317    379.080261  379.534506
318    359.126190  359.401786
319    332.709991  332.892057
320    357.118652  357.249199
321    327.689850  327.856123
322    312.843323  312.841826
323    315.721069  315.727847
324    321.869598  321.969106
325    331.289093  331.478060
326    310.977386  310.878956
327    319.208862  319.276841
328    314.501404  314.505358
329    425.519348  425.258879
330    369.152405  369.428548
331    332.728271  332.909678
332    411.849304  412.360859
333    345.405762  345.591367
334    311.067566  311.065805
335    325.021454  325.166201
336    345.561859  345.788982
337    313.116272  313.096516
338    311.633209  311.675744
339    318.887817  318.956658
340    313.483704  313.483638
341    310.689056  310.677612
342    310.984619  310.986113
343    310.365387  310.376280
344    356.859314  357.042295
345    403.673279  404.172667
346    311.813446  311.866194
347    310.244171  310.226085
348    310.857849  310.848727
349    310.636230  310.636983
350    313.939056  313.961892
351    317.113464  317.166275
352    310.222321  310.257805
353    311.169952  311.168565
354    354.290588  354.556129
355    310.564789  310.569859
356    318.019684  318.106535
357    314.105591  314.129250
358    310.693481  310.703866
359    362.749084  362.942147
360    382.317596  382.797057
361    312.587372  312.590986
362    319.684021  319.726206
363    327.154907  327.331744
364    322.699890  322.823285
365    435.735962  435.696526
366    330.697754  330.760166
367    372.379120  372.665998
368    313.735626  313.780571
369    311.410370  311.384682
370    319.560699  319.630471
371    310.929413  310.927927
372    331.427185  331.633998
373    331.018158  331.100266
374    312.637848  312.615619
375    326.253784  326.201974
376    313.391174  313.376839
377    342.630798  342.858937
378    316.385223  316.437539
379    322.204041  322.312997
380    411.830078  412.334028
381    318.244141  318.293053
382    310.902954  310.874702
383    313.904968  313.892487
384    322.711700  322.848857
385    419.953186  420.382506
386    392.935974  393.471896
387    318.912048  318.980639
388    339.815460  340.014211
389    313.122040  313.115845
390    313.199005  313.213748
391    332.133423  332.350267
392    330.720795  330.890694
393    339.003052  339.227878
394    310.262604  310.293004
395    312.501221  312.497888
396    320.663757  320.754542
397    310.890045  310.890115
398    426.473877  426.062000
399    382.201233  382.614178
400    346.356018  346.522765
401    325.547241  325.707432
402    311.700836  311.683226
403    318.597412  318.661341
404    333.955719  334.156763
405    310.142059  310.162893
406    344.505554  344.727116
407    314.165588  314.198235
408    409.626678  409.752199
409    310.236542  310.253780
410    313.534973  313.528062
411    313.825409  313.831973
412    310.940704  310.927328
413    321.857941  321.974022
414    382.113342  382.324444
415    329.552277  329.761416
416    313.628387  313.694151
417    311.465485  311.463844
418    310.648956  310.651288
419    310.802917  310.808720
420    407.822632  408.328085
421    311.585388  311.564696
422    356.617340  356.861354
423    310.492676  310.483897
424    310.256287  310.281166
425    347.676666  347.923347
426    313.781433  313.843006
427    334.971985  335.188652
428    369.767181  370.050721
429    436.909485  436.833215
430    321.428131  321.527919
431    314.106354  314.129679
432    362.986511  363.278583
433    311.335510  311.307568
434    312.762573  312.748861
435    328.813019  328.966389
436    320.270020  320.328598
437    332.181366  332.404287
438    339.323395  339.238088
439    358.968384  359.160672
440    311.897919  311.884630
441    310.801666  310.796460
442    342.581787  342.804069
443    310.668732  310.676726
444    312.868774  312.856158
445    328.104797  328.119888
446    331.386475  331.451049
447    339.251129  339.313742
448    314.074829  314.109065
449    310.320953  310.326314
450    311.403473  311.402230
451    370.151611  370.420429
452    310.401917  310.400664
453    313.951874  313.968269
454    315.473846  315.507822
455    384.130676  384.644195
456    332.079163  332.276558
457    332.548065  332.412621
458    343.389618  343.566008
459    328.985046  329.176913
460    385.659119  386.161617
461    356.495880  356.681165
462    310.305969  310.274548
463    315.598083  315.644182
464    317.154846  317.215686
465    337.309753  337.518736
466    332.475586  332.619129
467    312.811646  312.849234
468    422.088226  422.485693
469    310.805420  310.811729
470    334.117462  334.309236
471    320.621613  320.697144
472    310.232605  310.204374
473    396.144440  396.373943
474    325.517639  325.554497
475    323.151306  323.290662
476    431.515961  431.245887
477    315.916779  315.940286
478    310.934601  310.932546
479    310.751190  310.726695
480    316.637024  316.673755
481    313.121735  313.105864
482    310.331940  310.342801
483    312.639923  312.617281
484    338.895813  339.090771
485    322.259705  322.372051
486    432.985413  432.760649
487    322.245422  322.351859
488    313.121948  313.103952
489    324.257141  324.210104
490    310.626404  310.639408
491    315.225830  315.259228
492    355.279419  355.455048
493    394.483032  395.022100
494    359.160400  359.467912
495    340.670349  340.867217
496    311.859192  311.912199
497    310.929016  310.930775
498    311.875732  311.834915
499    316.399200  316.410843
500    421.329041  421.760006
501    390.552673  391.070960
502    316.940216  316.993210
503    396.676025  397.225920
504    320.246002  320.306561
505    383.393311  383.813820
506    371.964966  372.303856
507    315.248199  315.200403
508    314.149261  314.146613
509    345.569153  345.667634
510    310.577850  310.579592
511    407.991882  408.506345
512    311.543854  311.537636
513    310.634827  310.591802
514    351.822205  352.011748
515    402.081116  402.618945
516    311.042816  311.024883
517    310.433105  310.435025
518    360.247009  360.451855
519    316.836578  316.874048
520    318.799072  318.876495
521    310.183136  310.161710
522    336.451965  336.414844
523    313.121674  313.105983
524    310.689575  310.705185
525    313.067139  313.124664
526    320.675049  320.772184
527    312.351318  312.396745
528    314.995453  315.043629
529    398.495056  399.027258
530    319.058960  319.144940
531    315.008698  315.041983
532    310.298798  310.325748
533    371.133728  371.422088
534    310.694305  310.702172
535    312.423462  312.404503
536    413.534668  413.648646
537    344.240509  344.336340
538    369.949799  370.319612
539    384.884064  385.097212
540    357.606201  357.737701
541    405.842041  406.357594
542    310.610107  310.607686
543    325.788788  325.842778
544    322.641541  322.733161
545    342.554596  342.763940
546    314.658478  314.690411
547    310.772736  310.769649
548    311.224487  311.238195
549    411.838623  412.325484
550    315.021240  315.026382
551    329.457733  329.620720
552    310.378815  310.388438
553    316.696136  316.705910
554    323.795258  323.744775
555    311.866486  311.843478
556    424.753540  425.083024
557    316.101837  316.145794
558    310.500549  310.477158
559    329.903931  330.086385
560    310.973999  310.970681
561    429.119202  429.058903
562    310.422699  310.417044
563    316.158905  316.081848
564    341.114227  341.217889
565    315.264099  315.216391
566    360.746826  360.840445
567    314.376495  314.434920
568    340.878876  341.115211
