            Guess        True
0      428.377441  422.596378
1      429.268494  422.387779
2      319.670349  320.131362
3      310.552490  310.567612
4      322.380005  317.610392
5      311.196289  311.153755
6      325.275879  326.077226
7      352.789124  354.686994
8      312.686371  312.611922
9      451.032684  455.188280
10     425.941559  423.781015
11     456.624023  457.158038
12     318.411621  318.799407
13     310.249268  310.150854
14     311.158142  311.116226
15     355.332886  356.098880
16     323.488098  320.301562
17     432.595673  430.891421
18     312.712097  312.178548
19     312.913940  312.871649
20     310.949310  310.926219
21     321.760803  322.311580
22     407.654053  400.848668
23     313.920288  313.263881
24     314.037048  313.387142
25     411.940247  416.200850
26     322.462585  318.161343
27     310.291534  310.209352
28     337.622772  338.990608
29     325.006989  325.828958
30     323.119690  326.784774
31     324.660278  324.793326
32     329.755310  330.797820
33     445.338104  448.129232
34     316.908081  317.147376
35     397.054169  392.271923
36     311.163879  311.094651
37     347.315979  344.085427
38     335.248840  336.634253
39     427.136475  421.481341
40     426.960663  433.283515
41     427.384705  422.707848
42     424.868530  421.457376
43     312.292877  312.243911
44     311.312683  311.254121
45     302.535950  312.105355
46     318.193420  317.902374
47     311.200745  311.130432
48     366.241333  368.559352
49     377.453217  375.045704
50     320.868683  321.432172
51     311.045227  311.018109
52     319.092285  316.809018
53     310.296783  310.338740
54     333.197235  335.375407
55     427.504272  421.101189
56     312.794373  312.694673
57     392.135254  395.637784
58     312.225800  312.152391
59     342.758026  341.698194
60     311.083527  311.010205
61     397.180481  401.113775
62     320.192963  320.664766
63     454.646057  462.135093
64     426.442261  432.630168
65     436.949707  442.935704
66     328.511169  324.694920
67     438.011444  444.819486
68     349.978973  352.049596
69     302.144257  311.779538
70     320.331512  315.522679
71     431.819916  421.619387
72     454.780212  451.725625
73     311.494598  311.434686
74     311.548126  311.103349
75     387.079742  390.314920
76     408.840515  413.729760
77     310.352448  310.307136
78     323.392242  324.136712
79     422.242615  427.932580
80     362.815094  362.340773
81     310.602417  310.589326
82     333.507874  334.739458
83     319.530548  319.919221
84     321.657593  322.218746
85     333.549591  334.524703
86     323.912567  323.854295
87     430.230011  422.631010
88     311.082825  311.036604
89     317.855957  318.131560
90     358.895660  361.008855
91     322.164276  322.419751
92     310.591400  310.588300
93     323.968933  319.582950
94     314.360382  314.365806
95     310.499054  310.398246
96     431.018677  421.672944
97     310.836365  310.821070
98     312.707001  312.664712
