            Guess        True
0      385.286926  385.180816
1      338.087463  338.207174
2      465.952820  465.879370
3      427.483612  427.526552
4      313.460205  313.347621
5      423.169464  423.204357
6      386.106079  386.148426
7      439.656708  439.725732
8      323.510681  323.478027
9      357.976349  357.888517
10     468.882202  468.830629
11     311.396149  311.392863
12     311.745728  311.737751
13     433.199341  433.274871
14     310.211914  310.189488
15     416.697601  416.677662
16     310.471527  310.466599
17     456.257477  456.188622
18     324.440979  324.419979
19     313.756195  313.694134
20     321.858734  321.925504
21     332.366058  332.411833
22     320.376587  320.309302
23     429.387482  429.452953
24     341.701935  341.778678
25     310.642822  310.699405
26     349.512726  349.588700
27     318.946320  318.846179
28     311.354736  311.333460
29     318.943298  318.843371
30     322.992340  322.974995
31     343.235870  343.280273
32     416.948364  416.958570
33     310.636383  310.616389
34     365.560638  365.519895
35     316.807770  316.867662
36     368.581512  368.569325
37     310.494476  310.481526
38     310.774536  310.771103
39     332.431885  332.484044
40     433.886414  433.921587
41     347.070740  347.088578
42     315.156555  315.012561
43     324.624207  324.597767
44     434.147827  434.157689
45     320.199432  320.153365
46     332.543976  332.462202
47     330.054169  329.963665
48     388.948303  388.849958
49     463.332214  463.267771
50     313.263947  313.214316
51     311.692047  311.692487
52     405.239044  405.162025
53     313.342957  313.331407
54     311.251373  311.270000
55     322.660675  322.615913
56     350.928772  350.850345
57     367.658051  367.963536
58     352.728027  352.651702
59     422.830994  422.866997
60     318.933411  318.863771
61     385.534424  385.434038
62     312.132355  312.122864
63     324.329865  324.325717
64     314.142242  314.068158
65     446.285706  446.313192
66     330.385193  330.411836
67     320.938629  320.875545
68     452.430023  452.447279
69     337.476013  337.530805
70     310.434906  310.460854
71     312.909973  312.813077
72     364.109863  364.073965
73     364.750122  364.648344
74     310.368408  310.369554
75     372.415131  372.356019
76     356.543701  356.547020
77     434.197662  434.298020
78     315.191711  315.299691
79     311.716888  311.722341
80     408.484558  408.539689
81     447.315674  447.280541
82     310.452240  310.484966
83     315.221710  315.142801
84     464.131287  464.207306
85     310.846039  310.845341
86     322.653442  322.609553
87     358.767609  358.788901
88     431.559723  431.606031
89     310.451660  310.492808
90     331.024261  331.050370
91     320.308685  320.234547
92     310.197784  310.231379
93     417.240753  417.252252
94     324.815521  324.779773
95     312.257935  312.246599
96     330.425934  330.471989
97     348.814453  348.864861
98     353.311493  353.249355
99     312.786011  312.695622
100    408.566254  408.514941
101    318.854034  318.784955
102    325.385773  325.475958
103    384.975006  384.836226
104    361.108887  361.129685
105    310.589325  310.628942
106    311.578125  311.537917
107    412.892609  412.881921
108    312.307861  312.263200
109    473.892548  473.915180
110    310.776398  310.775068
111    342.726196  342.777345
112    310.810242  310.808138
113    314.107025  314.041761
114    459.345154  459.369110
115    311.199371  311.229686
116    311.060242  311.096280
117    324.642029  324.556050
118    451.724274  451.705166
119    468.256348  468.301422
120    313.325226  313.210245
121    407.005737  406.961499
122    312.010803  311.913231
123    330.167969  330.266432
124    323.952972  323.927231
125    326.920959  326.970934
126    468.090820  468.466670
127    317.124573  317.025591
128    324.714691  324.807139
129    410.655914  410.762265
130    310.856598  310.893419
131    311.307861  311.278334
132    311.743347  311.673681
133    403.491150  403.413787
134    320.383423  320.348247
135    318.024658  317.914933
136    310.817749  310.812430
137    312.244751  312.256230
138    385.626404  385.572683
139    377.770294  377.748794
140    403.431122  403.341973
141    312.814972  312.712356
142    322.118103  322.078306
143    329.212219  329.319881
144    376.371826  376.393015
145    311.384521  311.344217
146    329.301636  329.326930
147    310.533081  310.559060
148    390.689148  390.592595
149    315.360626  315.281705
150    310.345245  310.393397
151    324.915344  324.900353
152    461.497009  461.396049
153    310.739899  310.736362
154    418.759766  418.753183
155    451.421570  451.465225
156    311.221558  311.246141
157    447.174866  447.087580
