            Guess        True
0      428.182495  427.801437
1      425.634918  423.478400
2      313.861572  313.964471
3      389.377563  389.552915
4      416.212738  415.941527
5      395.131500  395.148891
6      354.015198  354.445501
7      413.990997  413.013974
8      405.227783  405.300795
9      368.554871  368.687787
10     321.269165  315.615338
11     326.934235  327.547542
12     392.759888  392.974646
13     395.808441  395.944174
14     328.585602  328.209770
15     422.596313  421.445778
16     374.724121  374.661973
17     422.744629  421.131072
18     414.294250  414.370478
19     311.270355  312.224537
20     377.163452  377.624613
21     334.583801  335.012882
22     423.172028  422.047277
23     368.828186  371.938341
24     365.649231  369.554874
25     391.189575  391.116120
26     375.794891  375.835020
27     380.899139  381.545296
28     322.263336  318.832450
29     381.692627  381.743715
30     353.638031  354.399078
31     310.924042  311.878854
32     317.112061  313.172718
33     427.473511  426.268057
34     405.125702  405.243215
35     373.357056  374.071210
36     367.465515  368.485318
37     373.517914  374.036199
38     339.690491  338.692369
39     428.302216  427.848478
40     319.221222  315.582179
41     427.323364  425.877230
42     390.409332  390.383357
43     427.684814  427.002482
44     414.355530  413.776588
45     365.381500  369.046510
46     407.673920  407.637392
47     427.118103  425.389474
48     372.358582  373.906515
49     348.475433  349.073748
50     336.268005  337.097713
51     401.423157  401.522605
52     326.645050  327.190770
53     427.781250  426.599301
54     361.580078  362.015918
55     356.315735  357.017994
56     386.380615  386.181677
57     380.539886  380.907919
58     382.133759  382.442851
59     396.465820  396.545366
60     370.652039  372.390099
61     341.225861  337.952542
62     422.534119  421.640969
63     368.581085  368.386561
64     394.865265  394.863248
65     368.529022  369.320437
66     333.264862  332.682291
67     366.635376  371.293372
68     387.463440  387.307724
69     377.198120  380.259215
70     409.481781  409.344617
71     364.075745  365.710588
72     409.192383  409.247330
73     400.289215  400.332252
74     365.177429  368.526471
75     339.696320  340.242683
76     427.090240  425.680129
77     426.948181  425.665544
78     374.094910  374.619144
79     364.977020  366.449476
80     410.997498  410.933021
81     374.945251  375.622506
82     370.231415  372.926739
83     427.929321  427.056038
84     363.501923  363.262072
85     387.914001  388.083778
86     367.854095  371.009943
87     427.504211  427.555769
88     409.712341  409.685345
89     356.596527  358.431999
90     338.290436  337.820429
91     361.883789  361.700721
92     368.851074  371.873628
93     341.562927  340.865655
94     392.670380  392.685519
95     366.111206  370.389024
96     340.877167  340.915359
97     372.756805  375.133884
98     408.340820  408.424688
99     373.345764  375.106627
100    384.898956  384.682044
101    418.400024  417.102030
102    378.012268  378.372404
103    407.512970  407.114389
104    325.612640  326.222145
105    405.125732  405.243714
106    395.021942  395.027736
