            Guess        True
0      429.065643  427.801437
1      426.478851  423.478400
2      320.809906  321.896617
3      310.610809  310.641425
4      312.740631  313.964471
5      311.327850  311.331171
6      327.460602  328.896431
7      358.358398  362.570710
8      313.087646  313.047129
9      390.148438  389.552915
10     417.150940  415.941527
11     395.972107  395.148891
12     319.300720  320.328878
13     310.228027  310.151005
14     311.290222  311.287008
15     353.555145  354.445501
16     326.831451  322.127012
17     414.885925  413.013974
18     313.726562  312.537375
19     313.175751  313.352729
20     311.047333  311.063417
21     323.428741  324.463065
22     406.044952  405.300795
23     315.347748  313.815024
24     315.479553  313.960114
25     368.783203  368.687787
26     320.222992  315.615338
27     310.246094  310.219842
28     341.413239  344.110955
29     327.049988  328.604032
30     326.464661  327.547542
31     327.389648  327.390055
32     332.616028  334.455863
33     393.643616  392.974646
34     317.633881  318.384547
35     396.550873  395.944174
36     311.267639  311.261621
37     328.001068  328.209770
38     338.597412  341.332350
39     423.462463  421.445778
40     375.167786  374.661973
41     423.538147  421.131072
42     415.327911  414.370478
43     312.516754  312.614024
44     311.460663  311.449277
45     309.874023  312.224537
46     320.095947  319.275318
47     311.354004  311.303728
48     371.743591  377.338920
49     377.174500  377.624613
50     322.156616  323.427772
51     311.153931  311.171549
52     322.297607  317.999110
53     310.313812  310.372100
54     333.644531  335.012882
55     424.077759  422.047277
56     313.266998  313.144528
57     370.371429  371.938341
58     312.411926  312.506331
59     345.889740  346.147303
60     311.246979  311.162250
61     367.221283  369.554874
62     321.451294  322.524488
63     391.944244  391.116120
64     376.625244  375.835020
65     381.797516  381.545296
66     321.235718  318.832450
67     382.451324  381.743715
68     353.431458  354.399078
69     309.519287  311.878854
70     315.745941  313.172718
71     428.668945  426.268057
72     406.259399  405.243215
73     311.629242  311.661758
74     312.243347  311.271922
75     373.806671  374.071210
76     368.272766  368.485318
77     310.370514  310.334910
78     325.102936  326.611591
79     374.448425  374.036199
80     339.413635  338.692369
81     310.649445  310.666977
82     336.851013  339.100254
83     320.800995  321.646971
84     323.230286  324.353748
85     336.853485  338.851326
86     326.679474  326.285228
87     429.390411  427.848478
88     311.213165  311.193313
89     318.839355  319.543066
90     364.423889  370.013465
91     324.305908  324.592740
92     310.679596  310.665771
93     317.996948  315.582179
94     314.749207  315.111046
95     310.577637  310.442124
96     428.398254  425.877230
97     310.954437  310.939682
98     312.958008  313.109211
99     325.898010  327.202238
100    376.895477  379.035421
101    391.167969  390.383357
102    320.114380  320.960802
103    428.047150  427.002482
104    415.226074  413.776588
105    366.887634  369.046510
106    310.623718  310.646647
107    408.964172  407.637392
108    312.425720  312.523476
109    428.074036  425.389474
110    373.373901  373.906515
111    348.488190  349.073748
112    310.267181  310.258473
113    335.816895  337.097713
114    402.514832  401.522605
115    334.406281  336.366653
116    325.482208  325.308827
117    322.704773  323.924255
118    315.784668  316.248564
119    326.192139  327.190770
120    312.409882  312.295368
121    334.678223  336.647345
122    428.832275  426.599301
123    361.291107  362.015918
124    355.949371  357.017994
125    327.516418  328.007240
126    310.680298  310.695903
127    387.060364  386.181677
128    348.748260  352.228435
129    380.703156  380.907919
130    324.798767  324.559221
131    311.400208  311.284228
132    382.956604  382.442851
133    312.868561  313.009179
134    397.495911  396.545366
135    371.645691  372.390099
136    356.381073  360.809308
137    310.361664  310.424910
138    323.431854  324.682817
139    341.471924  337.952542
140    348.838562  352.320110
141    310.695343  310.719795
142    377.180603  379.405901
143    311.227783  311.210558
144    328.490021  327.942222
145    353.335449  357.537093
146    353.998413  357.965253
147    423.459656  421.640969
148    368.870972  368.386561
149    395.691132  394.863248
150    369.374359  369.320437
151    332.856110  332.682291
152    312.573517  310.855453
153    310.399414  310.417612
154    368.375366  371.293372
155    388.151337  387.307724
156    377.765442  380.259215
157    377.005096  380.011839
158    410.518524  409.344617
159    364.840393  365.710588
160    410.287964  409.247330
161    401.302338  400.332252
162    318.514862  319.367960
163    310.344818  310.301785
164    366.415527  368.526471
165    314.952606  315.373476
166    339.540497  340.242683
167    428.205811  425.680129
168    335.072388  337.485777
169    316.320923  313.192584
170    341.016449  343.091172
171    428.116516  425.665544
172    311.016388  310.776147
173    351.548706  354.013842
174    374.104675  374.619144
175    365.708099  366.449476
176    412.050354  410.933021
177    375.896179  375.622506
178    323.854279  324.909073
