            Guess        True
0      318.757965  321.896617
1      310.341797  310.641425
2      311.709381  311.331171
3      327.118408  328.896431
4      360.363403  362.570710
5      314.715851  313.047129
6      318.667480  320.328878
7      309.662079  310.151005
8      311.571106  311.287008
9      325.350433  322.127012
10     307.861176  312.537375
11     311.320648  313.352729
12     310.813110  311.063417
13     320.612610  324.463065
14     312.656525  313.815024
15     312.974213  313.960114
16     309.332794  310.219842
17     346.817017  344.110955
18     326.521759  328.604032
19     332.905579  327.390055
20     336.671265  334.455863
21     318.882080  318.384547
22     312.334808  311.261621
23     345.339447  341.332350
24     312.499146  312.614024
25     312.106934  311.449277
26     321.984344  319.275318
27     313.148590  311.303728
28     375.457367  377.338920
29     319.422668  323.427772
30     311.118500  311.171549
31     317.061981  317.999110
32     310.719971  310.372100
33     315.185852  313.144528
34     310.109924  312.506331
35     346.063141  346.147303
36     313.053131  311.162250
37     319.028320  322.524488
38     313.078369  311.661758
39     310.080505  311.271922
40     309.611267  310.334910
41     323.091187  326.611591
42     310.361542  310.666977
43     342.121979  339.100254
44     318.920502  321.646971
45     320.406769  324.353748
46     342.665894  338.851326
47     331.869232  326.285228
48     311.199524  311.193313
49     316.789276  319.543066
50     367.460052  370.013465
51     326.843628  324.592740
52     310.457428  310.665771
53     315.533875  315.111046
54     310.682373  310.442124
55     310.528290  310.939682
56     311.287872  313.109211
57     324.221344  327.202238
58     379.400726  379.035421
59     317.302277  320.960802
60     310.375427  310.646647
61     312.871002  312.523476
62     309.917023  310.258473
63     338.957886  336.366653
64     330.607025  325.308827
65     319.837341  323.924255
66     317.511871  316.248564
67     312.624969  312.295368
68     339.627319  336.647345
69     332.690430  328.007240
70     310.333069  310.695903
71     352.285126  352.228435
72     329.655121  324.559221
73     310.946655  311.284228
74     311.373932  313.009179
75     358.259155  360.809308
76     310.780884  310.424910
77     320.649109  324.682817
78     352.337341  352.320110
79     310.291565  310.719795
80     379.715637  379.405901
81     311.288361  311.210558
82     331.825500  327.942222
83     354.710083  357.537093
84     356.116669  357.965253
85     306.238953  310.855453
86     310.213684  310.417612
87     379.635376  380.011839
88     318.817535  319.367960
89     309.502502  310.301785
90     316.315186  315.373476
91     341.451141  337.485777
92     320.125549  313.192584
93     342.567871  343.091172
94     308.660431  310.776147
95     355.479492  354.013842
96     321.110291  324.909073
97     318.879333  318.544621
98     309.912384  312.711400
99     381.195068  381.678048
100    311.673462  310.945760
101    363.024384  365.991402
102    327.236816  323.317236
103    315.347351  316.011751
104    311.824768  311.367377
105    319.449768  323.399576
106    373.230560  375.373837
107    356.994568  359.093250
108    311.146637  311.107761
109    310.909790  310.445281
110    313.226379  312.449059
111    347.333740  344.077457
112    310.509888  310.372328
113    343.208435  339.248435
114    311.873047  311.313053
115    328.074432  322.032377
116    328.194641  323.050399
117    309.419250  313.994737
118    322.012421  325.652344
119    317.037598  315.927351
120    318.477386  317.040222
121    334.083740  332.673072
122    310.151825  312.762173
123    318.832092  319.574910
124    315.088501  314.900598
125    314.837219  314.281583
126    336.565216  332.891675
127    312.155365  313.065396
128    312.322449  313.994503
129    335.312073  330.049276
130    314.851624  314.156146
131    318.273193  316.731591
132    344.649994  345.236257
133    342.934937  339.678864
134    318.850586  318.294480
135    345.485962  342.219103
136    309.388184  310.157114
137    349.377960  347.697836
138    311.376556  311.234615
139    376.826172  378.419371
140    379.654297  380.343795
