            Guess        True
0      321.132172  322.367502
1      310.685455  310.661008
2      311.414734  311.378242
3      328.276764  329.654196
4      337.773926  337.945090
5      313.123657  313.162734
6      319.538330  320.736322
7      310.357819  310.151045
8      311.372955  311.332319
9      315.267700  315.655783
10     313.746490  312.633260
11     313.259491  313.480420
12     311.143250  311.099816
13     323.830170  325.038573
14     315.558838  313.963124
15     315.702515  314.114111
16     313.551636  314.410967
17     310.323090  310.222625
18     338.488403  341.255871
19     327.873199  329.349640
20     327.722626  328.075346
21     333.539154  335.416299
22     317.768402  318.713696
23     311.378815  311.305922
24     327.157440  327.235596
25     338.393433  342.001621
26     312.593475  312.712243
27     311.540497  311.501056
28     320.657166  319.646247
29     311.453186  311.349712
30     343.105347  342.603076
31     322.609802  323.960817
32     311.252045  311.212258
33     313.677155  313.859548
34     310.363342  310.380951
35     313.278656  313.264073
36     356.000946  355.443907
37     312.507568  312.600266
38     327.154236  327.213645
39     311.333282  311.202595
40     358.591309  357.959439
41     321.822784  323.020896
42     370.562164  369.318204
43     366.377075  365.676468
44     316.994476  317.847807
45     367.994232  367.724972
46     311.966858  312.993793
47     311.727478  311.722007
48     312.174255  311.316813
49     353.505280  353.015769
50     364.373260  363.468582
51     310.420746  310.342278
52     325.814880  327.274878
53     368.854889  367.588345
54     336.965149  337.267163
55     310.732269  310.687578
56     336.719177  339.220440
57     321.031982  322.107886
58     323.692749  324.924701
59     335.500336  338.701874
60     326.744354  326.900207
61     311.290527  311.234890
62     319.063812  319.919403
63     339.464355  338.917005
64     325.073395  325.179854
65     310.737946  310.686323
66     314.177856  315.140344
67     314.839691  315.308979
68     310.657135  310.453765
69     311.027161  310.971151
70     313.037811  313.227184
71     326.579254  327.890074
72     348.826569  348.372052
73     320.427795  321.394467
74     358.021271  357.411621
75     310.706146  310.666438
76     312.501678  312.618083
77     367.011780  365.734782
78     310.286469  310.262795
79     335.010254  337.124496
80     326.070831  325.928391
81     323.235901  324.478064
82     315.884033  316.492030
83     312.441650  312.380940
84     335.319397  337.559042
85     328.223389  328.735461
86     310.764313  310.717656
87     337.647400  338.127895
88     325.431122  325.148546
89     311.469147  311.329439
90     366.462219  366.036187
91     312.945190  313.123161
92     366.310303  365.100963
93     336.781586  336.739911
94     310.418945  310.435865
95     323.961731  325.267134
96     329.456573  329.707457
97     337.607849  338.026752
98     310.775238  310.742500
99     349.059143  348.589741
100    311.304688  311.252822
101    326.761688  327.644545
102    333.558197  332.997603
103    333.334656  332.839434
104    358.165375  359.068120
105    365.551178  364.556922
106    331.438232  331.637315
107    312.532440  310.883817
108    310.452179  310.428276
109    359.444916  358.645955
110    352.191345  351.572186
111    348.007416  347.538489
112    359.276306  358.653234
113    318.687225  319.736680
114    310.403107  310.307833
115    359.332611  358.673095
116    315.025085  315.581898
117    335.850433  338.554728
118    316.438232  313.318013
119    330.404877  329.926020
120    311.058899  310.801107
121    330.812378  330.594480
122    360.925079  360.223448
123    368.605316  367.381633
124    324.284851  325.502838
125    317.922089  318.880208
126    312.696503  312.813521
127    365.309448  364.033671
128    348.329224  347.830714
129    311.098541  310.977473
130    337.859741  337.369550
131    324.233246  323.854174
132    357.363647  357.122754
133    317.445618  316.248792
134    311.459564  311.415891
135    363.490814  362.457443
136    322.640717  323.931522
137    342.325623  341.922046
138    336.857788  336.978816
139    311.202637  311.145928
140    310.442810  310.457047
141    335.045349  334.905318
142    336.486511  336.375087
143    312.425476  312.540698
144    339.382935  343.311308
145    310.594971  310.381189
146    355.875153  355.333124
147    337.141144  340.164545
148    339.397339  339.445393
149    311.402527  311.359403
150    323.458771  322.518339
151    324.186798  323.578179
152    314.992554  314.149232
153    324.934021  326.276754
154    315.602417  316.157956
155    359.240845  358.551990
156    316.537140  317.315399
157    331.718719  333.587851
158    312.746918  312.866323
159    318.996124  319.952036
160    314.640015  315.090115
161    366.094360  364.711735
162    314.064209  314.446399
163    332.134521  333.814836
164    313.037445  313.181663
165    312.233856  311.987896
166    366.848145  365.529476
167    329.807098  330.816473
168    313.969604  314.315962
169    316.235077  316.994389
170    331.701752  331.280093
171    337.149933  339.860641
172    317.736389  318.620027
173    338.345795  341.501585
174    310.320465  310.157398
175    338.650238  340.680996
176    311.320862  311.277837
177    344.910675  344.491324
