            Guess        True
0      370.131348  370.145379
1      369.615570  369.626771
2      315.915649  315.927812
3      310.649017  310.620929
4      312.153168  312.153943
5      311.232941  311.194370
6      318.202271  318.220431
7      327.042328  327.016410
8      311.946564  311.917632
9      352.324158  352.268801
10     365.829895  365.786529
11     355.145355  355.085547
12     315.357910  315.366656
13     310.185669  310.150918
14     311.199310  311.161900
15     333.358093  333.344303
16     313.600922  313.589606
17     364.569092  364.525595
18     311.250763  311.271362
19     312.462036  312.396221
20     311.030273  310.991419
21     316.782471  316.791228
22     359.985657  359.991779
23     311.699036  311.727933
24     311.757172  311.786569
25     340.907898  340.913837
26     312.749054  312.736206
27     310.230042  310.216779
28     322.484833  322.493143
29     318.108612  318.138601
30     319.057861  319.052237
31     316.637512  316.669658
32     319.855530  319.872770
33     353.651154  353.649491
34     314.632355  314.623109
35     353.228943  353.226094
36     311.134827  311.087172
37     319.943420  319.966153
38     321.781128  321.791721
39     368.770569  368.757710
40     344.397552  344.400836
41     368.673096  368.659488
42     364.856079  364.849139
43     312.058075  311.998791
44     311.327362  311.275712
45     311.233429  311.233028
46     313.839386  313.875554
47     311.113739  311.062129
48     330.744690  330.703528
49     345.525970  345.522384
50     316.439392  316.462482
51     311.117889  311.076351
52     312.622437  312.619557
53     310.339081  310.330166
54     323.159851  323.160878
55     369.041901  369.032200
56     311.922485  311.902994
57     337.364563  337.326391
58     311.904846  311.852435
59     320.769348  320.739134
60     311.000549  310.949382
61     338.674286  338.632905
62     316.134918  316.142292
63     353.121185  353.084312
64     345.841248  345.818469
65     348.307404  348.268363
66     314.794525  314.789185
67     348.607025  348.574820
68     333.231812  333.241921
69     311.052582  311.052547
70     311.878387  311.865404
71     370.359528  370.368226
72     360.177307  360.122664
73     311.453186  311.406416
74     310.725647  310.731587
75     336.106689  336.066200
76     341.586487  341.560413
77     310.335785  310.327504
78     317.484375  317.514603
79     344.782288  344.756448
80     326.090393  326.089661
81     310.660583  310.645420
82     321.134979  321.148448
83     315.824585  315.821061
84     316.755554  316.761849
85     320.578644  320.595643
86     316.144653  316.170903
87     370.171387  370.179198
88     311.132080  311.089806
89     314.816864  314.827593
90     328.799835  328.759014
91     316.003693  316.047490
92     310.662140  310.642491
