          Guess   True
0      0.198175  0.445
1      0.198175  0.445
2      0.198175  0.235
3      0.198175  0.445
4      0.198175  0.235
5      0.198175  0.235
6      0.198175  0.445
7      0.198175  0.235
8      0.198175  0.235
9      0.198175  0.235
10     0.198175  0.235
11     0.198175  0.445
12     0.198175  0.235
13     0.198175  0.235
14     0.198175  0.235
15     0.198175  0.235
16     0.198175  0.445
17     0.198175  0.235
18     0.198175  0.235
19     0.198175  0.235
20     0.198175  0.445
21     0.198175  0.235
22     0.198175  0.445
23     0.198175  0.235
24     0.198175  0.445
25     0.198175  0.235
26     0.198175  0.445
27     0.198175  0.445
28     0.198175  0.445
29     0.198175  0.445
30     0.198175  0.445
31     0.198175  0.235
32     0.198175  0.445
33     0.198175  0.445
34     0.198175  0.445
35     0.198175  0.445
36     0.198175  0.235
37     0.198175  0.235
38     0.198175  0.445
39     0.198175  0.235
40     0.198175  0.445
41     0.198175  0.445
42     0.198175  0.235
43     0.198175  0.235
44     0.198175  0.445
45     0.198175  0.445
46     0.198175  0.445
47     0.198175  0.445
48     0.198175  0.235
49     0.198175  0.445
50     0.198175  0.445
51     0.198175  0.445
52     0.198175  0.445
53     0.198175  0.235
54     0.198175  0.235
55     0.198175  0.445
56     0.198175  0.445
57     0.198175  0.235
58     0.198175  0.235
59     0.198175  0.445
60     0.198175  0.445
61     0.198175  0.445
62     0.198175  0.235
63     0.198175  0.445
64     0.198175  0.445
65     0.198175  0.235
66     0.198175  0.445
67     0.198175  0.445
68     0.198175  0.445
69     0.198175  0.235
70     0.198175  0.445
71     0.198175  0.445
72     0.198175  0.235
73     0.198175  0.445
74     0.198175  0.445
75     0.198175  0.445
76     0.198175  0.445
77     0.198175  0.235
78     0.198175  0.235
79     0.198175  0.445
80     0.198175  0.235
81     0.198175  0.445
82     0.198175  0.445
83     0.198175  0.235
84     0.198175  0.445
85     0.198175  0.235
86     0.198175  0.235
87     0.198175  0.445
88     0.198175  0.235
89     0.198175  0.445
90     0.198175  0.445
91     0.198175  0.235
92     0.198175  0.445
93     0.198175  0.445
94     0.198175  0.235
95     0.198175  0.445
96     0.198175  0.235
97     0.198175  0.445
98     0.198175  0.235
99     0.198175  0.445
100    0.198175  0.445
101    0.198175  0.235
102    0.198175  0.235
103    0.198175  0.445
104    0.198175  0.445
105    0.198175  0.445
106    0.198175  0.445
107    0.198175  0.445
108    0.198175  0.235
109    0.198175  0.445
110    0.198175  0.235
111    0.198175  0.235
112    0.198175  0.235
113    0.198175  0.235
114    0.198175  0.235
115    0.198175  0.445
116    0.198175  0.445
117    0.198175  0.445
118    0.198175  0.445
119    0.198175  0.445
120    0.198175  0.445
121    0.198175  0.445
122    0.198175  0.445
123    0.198175  0.445
124    0.198175  0.235
125    0.198175  0.235
126    0.198175  0.445
127    0.198175  0.235
128    0.198175  0.445
129    0.198175  0.235
130    0.198175  0.235
131    0.198175  0.235
132    0.198175  0.235
133    0.198175  0.445
134    0.198175  0.445
135    0.198175  0.235
136    0.198175  0.235
137    0.198175  0.445
138    0.198175  0.445
139    0.198175  0.445
140    0.198175  0.445
141    0.198175  0.235
142    0.198175  0.235
143    0.198175  0.445
144    0.198175  0.445
145    0.198175  0.445
146    0.198175  0.235
147    0.198175  0.445
148    0.198175  0.445
149    0.198175  0.445
150    0.198175  0.445
151    0.198175  0.235
152    0.198175  0.235
153    0.198175  0.235
154    0.198175  0.235
155    0.198175  0.445
156    0.198175  0.445
157    0.198175  0.445
158    0.198175  0.445
159    0.198175  0.445
160    0.198175  0.235
