            Guess        True
0      381.898041  385.180816
1      337.164673  338.207174
2      456.828491  465.879370
3      422.777100  427.526552
4      307.026215  311.897011
5      346.014984  347.650384
6      313.210846  313.347621
7      418.634552  423.204357
8      384.899628  386.148426
9      421.375580  410.552635
10     431.923218  439.725732
11     429.116425  427.929828
12     322.910950  323.478027
13     328.687836  332.912597
14     432.712097  430.842564
15     352.015228  353.439125
16     434.300690  423.988716
17     356.945312  357.888517
18     347.918701  349.441496
19     353.073730  353.981683
20     459.608093  468.830629
21     311.359772  311.392863
22     311.668365  311.737751
23     427.551788  433.274871
24     439.489716  435.758514
25     310.274780  310.189488
26     412.064087  416.677662
27     344.242615  345.931004
28     312.010620  310.466599
29     315.578918  317.982298
30     448.361877  456.188622
31     323.827332  324.419979
32     313.630005  313.694134
33     327.908966  321.925504
34     331.492371  332.411833
35     319.867035  320.309302
36     344.007202  346.174930
37     424.164673  429.452953
38     340.265106  341.778678
39     310.625854  310.699405
40     347.660736  349.588700
41     318.457336  318.846179
42     428.571960  424.266396
43     311.292023  311.333460
44     389.276245  385.482666
45     318.454010  318.843371
46     432.143188  425.266194
47     322.410492  322.974995
48     342.489258  343.280273
49     426.403534  422.442414
50     367.149597  366.260599
51     412.705505  416.958570
52     310.859558  310.616389
53     363.057739  365.519895
54     318.299103  316.867662
55     431.253265  422.318265
56     365.938599  368.569325
57     310.425934  310.481526
58     310.718292  310.771103
59     331.584991  332.484044
60     428.504730  433.921587
61     346.110718  347.088578
62     436.607117  433.990796
63     431.922852  422.317549
64     314.810913  315.012561
65     323.897522  324.597767
66     429.273163  424.081418
67     427.941833  419.786704
68     429.069153  434.157689
69     319.697021  320.153365
70     335.054443  332.462202
71     349.587219  350.293165
72     334.205811  329.963665
73     385.554199  388.849958
74     457.346710  463.267771
75     313.323517  313.214316
76     311.622070  311.692487
77     401.446014  405.162025
78     314.581604  313.331407
79     311.271515  311.270000
80     433.613647  424.463714
81     322.123077  322.615913
82     352.574310  350.850345
83     364.735474  367.963536
84     352.756042  352.651702
85     417.801453  422.866997
86     318.580872  318.863771
87     382.232422  385.434038
88     312.101501  312.122864
89     359.687286  359.623372
90     431.762451  423.903704
91     323.692902  324.325717
92     313.948547  314.068158
93     437.865753  446.313192
94     329.533386  330.411836
95     320.370911  320.875545
96     455.316528  452.447279
97     336.222382  337.530805
98     349.769165  351.565982
99     310.425812  310.460854
100    433.254120  432.004767
101    312.753418  312.813077
102    361.593353  364.073965
103    357.914642  356.839172
104    363.290192  364.648344
105    310.338226  310.369554
106    369.329468  372.356019
107    432.360168  423.581352
108    354.528320  356.547020
109    428.442383  434.298020
110    347.777161  347.662868
111    322.210602  315.299691
112    311.665558  311.722341
113    430.963989  424.185788
114    404.531555  408.539689
115    416.858887  413.536624
116    441.110229  447.280541
117    310.495697  310.484966
118    315.022369  315.142801
119    454.196960  464.207306
120    310.800323  310.845341
121    430.241119  423.927631
122    322.102203  322.609553
123    356.389221  358.788901
124    426.143066  431.606031
125    310.476410  310.492808
126    330.137817  331.050370
127    319.816040  320.234547
128    310.205994  310.231379
129    410.776978  417.252252
130    324.083923  324.779773
131    325.978271  331.399308
132    429.024353  426.906313
133    361.908630  361.833097
134    312.154388  312.246599
135    433.443939  430.913469
136    427.178009  424.650108
137    329.644562  330.471989
138    347.239197  348.864861
139    352.504669  353.249355
140    312.639893  312.695622
141    404.066956  408.514941
142    318.391937  318.784955
143    325.696564  325.475958
144    381.161987  384.836226
145    362.653839  361.129685
146    310.538391  310.628942
147    311.740692  311.537917
148    430.765350  429.776980
149    434.743591  423.469964
150    408.784149  412.881921
151    312.216919  312.263200
152    464.098022  473.915180
153    310.782593  310.775068
154    341.968384  342.777345
155    310.752777  310.808138
156    401.498871  393.418513
157    313.932373  314.041761
158    372.526245  368.919413
159    459.157745  459.369110
160    311.150879  311.229686
161    311.010559  311.096280
162    441.958313  439.205193
163    329.379669  324.556050
164    444.835297  451.705166
165    457.920715  468.301422
166    313.082581  313.210245
167    394.761749  395.382507
168    403.095764  406.961499
169    311.892120  311.913231
170    331.005676  330.266432
171    323.333160  323.927231
172    326.431763  326.970934
173    463.760132  468.466670
174    432.293640  422.555195
175    316.728790  317.025591
176    326.120178  324.807139
177    407.241547  410.762265
178    310.798798  310.893419
179    311.265625  311.278334
180    432.285950  422.559767
181    311.664795  311.673681
182    399.758179  403.413787
183    320.132812  320.348247
184    317.571289  317.914933
185    310.814240  310.812430
186    313.811737  312.256230
187    428.914673  424.025561
188    376.536438  372.568095
189    420.067596  415.222972
190    394.896973  388.430927
191    382.337738  385.572683
192    376.653076  377.748794
193    399.690216  403.341973
194    312.605896  312.712356
195    321.521484  322.078306
196    329.531494  329.319881
197    433.739288  424.485807
198    306.359406  311.030451
199    374.684326  376.393015
200    311.299408  311.344217
201    435.620117  423.719144
202    328.590790  329.326930
203    310.565277  310.559060
204    387.251587  390.592595
205    315.183990  315.281705
206    310.356873  310.393397
207    324.281738  324.900353
208    457.599884  461.396049
209    310.679657  310.736362
210    414.053467  418.753183
211    454.516296  451.465225
212    311.227509  311.246141
213    441.166931  447.087580
214    381.495056  382.984944
215    353.292297  350.925019
216    432.303253  423.717938
217    431.727722  423.888809
218    404.600586  398.303837
219    329.410980  330.281174
220    433.233276  438.598988
221    412.307159  416.791608
222    413.080933  417.188600
223    322.652985  322.339123
224    313.507660  313.611369
225    310.314331  310.325549
226    311.587067  311.661995
227    413.677155  407.835935
228    321.191376  321.705216
229    314.897064  314.327144
230    408.878387  412.926233
231    317.572205  317.916501
232    329.007172  329.782775
233    350.112762  350.315395
234    455.445770  460.016698
235    339.360748  337.637264
236    453.279907  459.639921
237    373.352844  372.921531
238    314.299255  314.348895
239    311.480377  311.538104
240    400.001892  402.356154
241    360.698395  363.059851
242    350.508453  351.655312
243    382.833862  385.142938
244    311.842529  311.938991
245    323.641663  324.304050
246    428.209717  424.400724
247    324.331909  324.920146
248    344.810516  344.097936
249    348.447693  349.336386
250    311.705353  311.741158
251    330.464355  334.400001
252    346.571045  345.845352
253    311.669037  311.737793
254    366.014557  368.678842
255    318.458038  318.685821
256    310.994598  310.648931
257    313.118530  313.196456
258    311.781525  311.818273
259    310.471802  310.523270
260    310.284119  310.254465
261    324.511230  325.255416
262    349.372192  351.216863
263    436.749908  424.273936
264    310.642090  310.705876
265    447.049988  456.351192
266    322.534943  322.694991
267    353.510895  355.447839
268    457.563263  460.935778
269    310.285706  310.262726
270    312.119171  312.170431
271    324.720886  325.451279
272    361.342987  363.953817
273    377.691223  381.511029
274    310.778320  310.809408
275    318.571991  318.195224
276    430.196716  423.896561
277    405.293854  408.689582
278    408.250824  414.532637
279    310.396332  310.399637
280    329.044891  329.851037
281    374.551910  377.567663
282    318.137665  318.507423
283    434.470062  432.591058
284    314.617828  314.777723
285    425.668976  415.070963
286    314.265717  314.417438
287    424.575867  424.581310
288    313.214905  313.346155
289    317.020355  317.328907
290    442.838867  451.820131
291    339.047455  335.629539
292    316.728149  317.025406
293    319.157410  319.536146
294    310.777679  310.774327
295    311.549072  311.307098
296    311.833710  311.913923
297    337.847107  339.243905
298    403.657410  401.803770
299    310.310394  310.387472
300    311.795135  311.435634
301    320.174164  320.029829
302    430.581726  421.289056
303    437.301880  442.891088
304    329.411285  329.499848
305    433.529633  423.364818
306    408.412537  412.727826
307    324.719330  325.371103
308    313.262787  313.011900
309    422.358093  429.311921
310    330.289185  331.140653
311    452.307983  448.420765
312    431.495544  424.084535
313    434.396301  422.757094
314    325.704315  326.392421
315    372.426178  375.480795
316    320.050781  320.463769
317    315.180237  315.385969
318    404.045624  408.789515
319    312.970337  313.075070
320    313.617126  313.501846
321    313.134155  313.001681
322    310.389954  310.416752
323    310.389648  310.464064
324    434.346375  441.095960
325    312.099487  312.162529
326    311.179321  311.219692
327    311.780243  311.503551
328    370.460754  369.375572
329    453.533203  449.936972
330    415.810059  420.756668
331    319.791016  313.176924
332    310.635956  310.699291
333    429.793213  424.503416
334    329.889771  330.446923
335    311.659790  311.672614
336    361.218018  363.906751
337    438.259430  435.216941
338    383.340271  379.380552
339    374.884033  375.617097
340    414.564728  420.062807
341    449.532288  444.647430
342    319.980865  320.178406
343    396.093170  389.741050
344    311.960693  311.821246
345    367.949615  364.506106
346    318.057983  317.926318
347    313.601837  313.742984
348    413.979797  419.635112
349    311.347870  310.945525
350    321.892853  321.946627
351    360.893646  361.686348
352    310.972107  311.050831
353    430.574677  421.300045
354    313.116760  313.198510
355    432.755005  423.418013
356    310.320953  310.377476
357    311.664673  311.675923
358    314.964111  320.833667
359    406.506104  399.448319
360    311.945892  311.580296
361    329.964020  329.274838
362    317.341492  317.657669
363    315.780853  316.029430
364    311.094208  311.121142
365    310.513885  310.539928
366    317.010437  317.321081
367    315.577667  315.812730
368    311.464081  311.521823
369    311.957336  317.131580
370    425.964233  433.559632
371    449.736389  444.667961
372    401.473480  405.183860
373    311.143097  311.226628
374    361.881989  364.267438
375    326.784973  327.511023
376    388.699890  392.123306
377    310.590149  310.634502
378    429.712158  424.478727
379    333.841125  328.333804
380    311.732178  311.748060
381    321.083069  321.639867
382    422.785950  427.530721
383    352.120178  349.220239
384    337.961182  338.034523
385    433.146729  423.111597
386    453.430420  460.228237
387    310.714325  310.706432
388    310.238434  310.201455
389    313.247009  313.332312
390    331.237061  332.315587
391    310.288055  310.293005
392    445.408691  447.044798
393    323.095612  323.565003
394    320.229462  320.346590
395    310.660095  310.717469
396    379.047913  382.159171
397    344.835846  346.307229
398    340.537292  340.857213
399    313.383179  313.407446
400    317.322937  316.862580
401    356.425598  356.092100
402    313.175659  310.479549
403    314.584595  311.356936
404    312.887115  312.950727
405    341.604462  342.935804
406    311.479401  311.570297
407    312.461121  311.763878
408    317.434387  316.311097
409    310.401611  310.436749
410    439.097229  447.287067
411    342.270233  344.603598
412    341.707703  342.403417
413    310.571533  310.607964
414    463.215668  466.940157
415    350.386353  351.092858
416    386.280792  390.691366
417    321.930511  322.503074
418    314.731934  314.414788
419    352.702759  352.980502
420    386.637115  390.198444
421    329.795227  329.807746
422    455.469177  460.092511
423    367.382721  370.118089
424    389.066162  392.475474
425    422.109039  427.253116
426    431.610535  424.004940
427    355.278412  355.815479
428    325.880219  325.888758
429    354.203003  356.399730
430    457.228943  460.338340
431    312.648163  312.701772
432    328.994049  329.811596
433    430.573883  429.572951
434    310.851105  310.849102
435    366.302643  369.330345
436    340.621429  341.568376
437    377.527771  380.605814
438    314.889740  314.989393
439    425.287689  415.802450
440    428.771393  425.118395
441    338.248840  339.050904
442    417.274933  421.554722
443    332.876709  328.858324
444    453.358032  462.859733
445    334.876984  336.006498
446    365.947144  365.000853
447    430.252014  421.998629
448    313.246185  313.329825
449    316.524139  316.804938
450    329.138672  327.710715
451    310.851288  310.892769
452    376.192413  376.156603
453    431.096191  430.292134
454    314.683624  314.387837
455    311.199677  310.996578
456    399.759979  403.415837
457    389.101685  390.173169
458    429.342377  424.769497
459    311.517120  311.271989
