            Guess        True
0      428.568024  428.696731
1      424.751831  424.543874
2      314.175354  314.036579
3      391.269043  391.489168
4      417.319336  417.264261
5      396.843628  397.006414
6      355.099640  355.037305
7      316.474274  316.181157
8      414.560547  414.407956
9      406.049500  406.193706
10     369.740845  369.784314
11     314.938995  314.829244
12     327.300659  327.671816
13     394.343872  394.436369
14     396.617065  396.543627
15     328.754456  328.872821
16     422.729034  422.594049
17     376.170532  376.307986
18     422.477356  422.281921
19     415.639771  415.723606
20     312.026855  312.243955
21     347.539307  347.749565
22     378.279053  378.369315
23     314.148926  314.248505
24     335.461761  335.350537
25     423.306396  423.176918
26     359.817505  360.031832
27     329.034668  328.850599
28     362.674835  362.756268
29     392.960968  393.131323
30     377.904846  378.113044
31     383.109558  383.367899
32     318.648224  318.603913
33     383.693176  383.934183
34     354.492584  354.784484
35     311.678619  311.895035
36     313.346924  313.273458
37     427.295288  427.237027
38     406.817078  406.857371
39     357.106659  357.316656
40     368.887665  369.022430
41     375.684998  375.906217
42     339.785675  339.883738
43     428.635071  428.741563
44     345.866852  346.025749
45     315.686584  315.630862
46     426.946655  426.858982
47     352.496979  352.758585
48     392.233368  392.406574
49     427.918823  427.935887
50     415.222839  415.154310
51     362.007904  362.081562
52     408.299042  408.421426
53     426.521545  426.387683
54     374.481384  374.704213
55     349.056580  349.363296
56     336.898682  337.312074
57     403.169373  403.239661
58     326.977875  327.310459
59     427.583252  427.551343
60     362.715271  362.692556
61     357.327271  357.480093
62     388.160889  388.349035
63     381.781097  381.811015
64     384.217102  384.458094
65     398.255341  398.394511
66     372.573700  372.770452
67     331.716980  331.618610
68     352.569794  352.846775
69     337.251709  337.436032
70     422.899536  422.788249
71     370.023987  370.199616
72     396.634705  396.758819
73     370.241119  370.390721
74     333.557495  333.664278
75     363.763489  364.006343
76     389.252075  389.437959
77     355.574829  355.598982
78     351.563110  351.836145
79     410.831177  410.847481
80     363.313629  363.403349
81     410.741821  410.753182
82     402.002899  402.085323
83     363.425995  363.510491
84     340.165497  340.458737
85     426.765533  426.671374
86     426.748230  426.660218
87     332.623779  332.546989
88     375.100281  375.260542
89     365.081573  365.164865
90     412.381958  412.392935
91     377.174377  377.398962
92     371.936920  372.169974
93     428.002106  427.993969
94     351.673676  351.805296
95     364.871735  365.049311
96     389.841553  390.061595
97     368.654480  368.858599
98     428.304688  428.463717
99     347.680481  347.893376
100    410.390991  410.402876
101    337.415039  337.298583
102    338.827637  338.941874
103    363.102631  363.252444
104    359.692902  359.878871
105    342.126190  342.258242
106    394.469421  394.625271
107    363.436523  363.607500
108    341.547668  341.550046
109    374.919525  375.147030
110    409.522705  409.569970
111    375.559570  375.804987
112    386.707703  386.895867
113    418.567322  418.377608
114    378.700989  378.909249
115    408.721802  408.675651
116    326.496185  326.413173
117    406.817566  406.857846
118    349.304199  349.564486
119    346.625977  346.644912
120    396.704163  396.881934
121    381.197906  381.218801
122    414.479492  414.468214
123    377.042297  377.260995
124    425.998413  425.863396
125    332.411499  332.374361
126    323.324982  323.437764
127    412.921326  412.906766
128    375.331146  375.575926
129    426.205292  426.189707
130    385.069916  385.100841
131    349.366272  349.547315
132    380.578003  380.711971
133    349.811249  349.809784
134    404.067352  404.125305
135    345.622467  345.584698
136    386.498383  386.719536
137    428.540222  428.635346
138    393.825500  393.984703
139    317.881561  317.881493
140    346.577606  346.545303
141    375.578918  375.820427
142    359.667908  359.692497
143    429.002014  429.040056
144    353.080383  353.202109
145    352.163147  352.152688
146    348.470459  348.562620
147    363.382172  363.358513
148    392.418213  392.605683
149    325.193512  325.130574
150    396.606171  396.760792
151    407.725555  407.714159
152    361.219177  361.280516
153    374.843628  375.062763
154    380.628479  380.883205
155    380.029358  380.288572
156    380.422089  380.648588
157    384.477966  384.743280
158    427.453217  427.409405
159    386.002197  386.049686
160    345.921356  345.968545
161    396.882385  397.010097
162    326.111664  326.193691
163    357.700653  357.810163
164    352.903748  352.966479
165    388.926178  389.111496
166    326.684418  326.481524
167    402.971680  403.036530
168    426.945618  426.786939
169    346.482635  346.639289
170    348.101166  348.172399
171    416.878235  416.831456
172    366.579071  366.781385
173    375.249756  375.489047
174    344.971588  345.149648
175    383.607300  383.636448
176    361.057678  361.238631
177    333.489136  333.357417
178    381.576813  381.722819
179    318.616638  318.719833
180    371.826050  371.889511
181    367.753174  367.749303
182    367.113098  367.216436
183    395.086182  395.271850
184    349.764038  349.835954
185    310.802765  310.601239
186    316.478577  316.437109
187    333.413971  333.339142
188    365.357727  365.519154
189    367.560272  367.769523
190    359.718750  359.957824
191    424.355530  424.142289
192    421.754669  421.540792
193    398.021576  398.128758
194    328.864624  329.190692
195    366.454132  366.651888
196    333.779297  333.725595
197    426.103943  425.955467
198    376.248047  376.493279
199    358.746307  358.748468
200    327.186859  327.586875
201    371.515533  371.692881
202    358.947784  359.074266
203    385.825562  386.034971
204    347.138031  347.137378
205    361.225769  361.476976
206    348.931305  349.005582
207    314.443390  314.524648
208    337.508453  337.704170
209    329.823761  329.869671
210    403.487610  403.633888
211    373.781738  373.985362
212    344.957764  345.111909
213    423.574158  423.418402
214    336.956085  337.062511
215    370.220276  370.316508
216    428.836823  428.922350
217    352.292328  352.486306
218    352.050415  352.218091
219    362.294281  362.280718
220    362.094269  362.131834
221    381.234375  381.477826
222    345.529297  345.607139
223    395.997345  396.137223
224    399.506439  399.635163
225    364.892365  364.986586
226    369.662445  369.818251
227    423.350403  423.207643
228    345.053711  345.200863
229    424.577820  424.426889
230    370.517365  370.738237
231    384.049744  383.938876
232    324.259338  324.277600
233    350.480011  350.548930
234    360.737396  360.937262
235    344.922119  345.105826
236    318.330994  318.187684
237    345.906219  346.091549
238    323.351837  323.188439
239    329.652252  330.088340
240    407.900024  408.047538
241    353.109924  353.122183
242    354.205017  354.159729
243    403.475525  403.585384
244    347.412323  347.534317
245    373.747284  373.560338
246    374.308746  374.549835
247    379.648743  379.668178
248    360.083923  360.254662
249    353.876617  353.900218
250    364.955261  365.036235
251    428.049561  428.054602
252    405.503967  405.546730
253    427.527008  427.481160
254    424.125397  423.947292
255    414.447235  414.295121
256    319.430420  319.239016
257    412.549438  412.550609
258    322.860352  323.239987
259    375.445862  375.572044
260    333.427063  333.286675
261    426.423279  426.252502
262    367.095459  367.257211
263    385.789032  386.026394
264    425.780090  425.622113
265    365.008667  365.249174
266    348.655212  348.889629
267    427.964447  427.991568
268    383.589111  383.669309
269    369.398041  369.657739
270    353.475159  353.725691
271    412.832214  412.786785
272    367.458679  367.582431
273    363.957764  364.048685
274    383.694305  383.935196
275    373.585449  373.822494
276    392.016541  392.173913
277    413.806000  413.792313
278    360.860718  361.052751
279    424.213867  424.186025
280    347.229309  347.592933
281    389.718201  389.943702
282    349.036713  348.957563
283    425.885925  425.707176
284    333.231537  333.322113
285    382.629028  382.843473
286    335.022705  335.126915
287    368.436798  368.629183
288    380.042145  380.268084
289    422.011169  421.978144
290    388.812042  389.021122
291    342.458740  342.499548
292    418.049683  417.848740
293    310.576447  310.869510
294    372.405640  372.588487
295    374.573914  374.596297
296    333.411896  333.267078
297    336.315491  336.220492
298    359.681976  359.814346
299    367.339111  367.116164
300    426.041748  425.882545
301    351.379578  351.449581
302    336.637512  336.708442
303    363.333496  363.573649
304    400.311310  400.432069
305    324.347717  324.439793
306    350.506226  350.574625
307    389.183716  389.391911
308    427.612854  427.583365
309    355.273926  355.261115
310    396.380432  396.510002
311    428.781342  429.059538
312    313.521698  313.609039
313    374.989441  375.007018
314    337.018982  337.077080
315    318.023254  318.049117
316    369.120422  369.156049
317    346.875702  346.898831
318    384.679810  384.835134
319    320.513153  320.354728
320    390.595428  390.791234
321    347.763489  347.990636
322    406.463837  406.447641
323    399.396729  399.537161
324    394.473145  394.478965
325    327.869476  327.813805
326    326.152039  326.236271
327    426.119812  426.210838
328    318.691925  318.669071
329    428.094696  428.136522
330    349.056183  348.981139
331    325.796417  325.889882
332    368.297821  368.510313
333    391.625977  391.790116
334    334.697723  334.744195
335    349.000763  349.208229
336    314.001099  314.220614
337    345.497772  345.656071
338    389.415222  389.607545
