         Guess   True
0      0.20844  0.445
1      0.20844  0.445
2      0.20844  0.235
3      0.20844  0.445
4      0.20844  0.235
5      0.20844  0.235
6      0.20844  0.445
7      0.20844  0.235
8      0.20844  0.235
9      0.20844  0.235
10     0.20844  0.235
11     0.20844  0.445
12     0.20844  0.235
13     0.20844  0.235
14     0.20844  0.235
15     0.20844  0.235
16     0.20844  0.445
17     0.20844  0.235
18     0.20844  0.235
19     0.20844  0.235
20     0.20844  0.445
21     0.20844  0.235
22     0.20844  0.445
23     0.20844  0.235
24     0.20844  0.445
25     0.20844  0.235
26     0.20844  0.445
27     0.20844  0.445
28     0.20844  0.445
29     0.20844  0.445
30     0.20844  0.445
31     0.20844  0.235
32     0.20844  0.445
33     0.20844  0.445
34     0.20844  0.445
35     0.20844  0.235
36     0.20844  0.235
37     0.20844  0.235
38     0.20844  0.445
39     0.20844  0.445
40     0.20844  0.235
41     0.20844  0.235
42     0.20844  0.445
43     0.20844  0.445
44     0.20844  0.445
45     0.20844  0.235
46     0.20844  0.445
47     0.20844  0.445
48     0.20844  0.445
49     0.20844  0.445
50     0.20844  0.235
51     0.20844  0.235
52     0.20844  0.445
53     0.20844  0.235
54     0.20844  0.235
55     0.20844  0.445
56     0.20844  0.445
57     0.20844  0.235
58     0.20844  0.445
59     0.20844  0.445
60     0.20844  0.235
61     0.20844  0.445
62     0.20844  0.445
63     0.20844  0.235
64     0.20844  0.445
65     0.20844  0.445
66     0.20844  0.235
67     0.20844  0.445
68     0.20844  0.445
69     0.20844  0.445
70     0.20844  0.235
71     0.20844  0.235
72     0.20844  0.445
73     0.20844  0.235
74     0.20844  0.445
75     0.20844  0.445
76     0.20844  0.235
77     0.20844  0.445
78     0.20844  0.235
79     0.20844  0.235
80     0.20844  0.445
81     0.20844  0.235
82     0.20844  0.445
83     0.20844  0.445
84     0.20844  0.235
85     0.20844  0.445
86     0.20844  0.445
87     0.20844  0.235
88     0.20844  0.445
89     0.20844  0.235
90     0.20844  0.445
91     0.20844  0.235
92     0.20844  0.445
93     0.20844  0.235
94     0.20844  0.235
95     0.20844  0.445
96     0.20844  0.445
97     0.20844  0.445
98     0.20844  0.445
99     0.20844  0.235
100    0.20844  0.445
101    0.20844  0.235
102    0.20844  0.235
103    0.20844  0.235
104    0.20844  0.235
105    0.20844  0.235
106    0.20844  0.445
107    0.20844  0.445
108    0.20844  0.445
109    0.20844  0.445
110    0.20844  0.445
111    0.20844  0.445
112    0.20844  0.445
113    0.20844  0.235
114    0.20844  0.235
115    0.20844  0.445
116    0.20844  0.235
117    0.20844  0.445
118    0.20844  0.235
119    0.20844  0.235
120    0.20844  0.235
121    0.20844  0.235
122    0.20844  0.445
123    0.20844  0.445
124    0.20844  0.235
125    0.20844  0.235
126    0.20844  0.445
127    0.20844  0.445
128    0.20844  0.445
129    0.20844  0.445
130    0.20844  0.235
131    0.20844  0.235
132    0.20844  0.445
133    0.20844  0.445
134    0.20844  0.235
135    0.20844  0.445
136    0.20844  0.445
137    0.20844  0.445
138    0.20844  0.235
139    0.20844  0.235
140    0.20844  0.235
141    0.20844  0.235
142    0.20844  0.445
143    0.20844  0.445
144    0.20844  0.445
145    0.20844  0.445
146    0.20844  0.445
147    0.20844  0.235
148    0.20844  0.235
149    0.20844  0.235
150    0.20844  0.235
151    0.20844  0.445
152    0.20844  0.445
153    0.20844  0.445
154    0.20844  0.235
155    0.20844  0.445
156    0.20844  0.235
157    0.20844  0.445
158    0.20844  0.235
159    0.20844  0.445
160    0.20844  0.235
161    0.20844  0.235
162    0.20844  0.235
163    0.20844  0.445
164    0.20844  0.445
165    0.20844  0.445
166    0.20844  0.445
167    0.20844  0.445
168    0.20844  0.235
169    0.20844  0.445
170    0.20844  0.445
171    0.20844  0.445
172    0.20844  0.445
173    0.20844  0.445
174    0.20844  0.235
175    0.20844  0.235
176    0.20844  0.235
177    0.20844  0.445
178    0.20844  0.445
179    0.20844  0.445
180    0.20844  0.445
181    0.20844  0.445
182    0.20844  0.445
183    0.20844  0.235
184    0.20844  0.445
185    0.20844  0.235
186    0.20844  0.445
187    0.20844  0.235
188    0.20844  0.445
189    0.20844  0.445
190    0.20844  0.445
191    0.20844  0.445
192    0.20844  0.235
193    0.20844  0.235
194    0.20844  0.235
195    0.20844  0.445
196    0.20844  0.445
