            Guess        True
0      320.171509  320.131362
1      310.611755  310.567612
2      317.686493  317.610392
3      311.230896  311.153755
4      326.178070  326.077226
5      354.908539  354.686994
6      312.683044  312.611922
7      455.310608  455.188280
8      456.955933  457.158038
9      318.834106  318.799407
10     310.210419  310.150854
11     311.195984  311.116226
12     320.370697  320.301562
13     312.174408  312.178548
14     312.968719  312.871649
15     310.997040  310.926219
16     322.387512  322.311580
17     313.266083  313.263881
18     313.390350  313.387142
19     415.948090  416.200850
20     318.244537  318.161343
21     310.223022  310.209352
22     339.158417  338.990608
23     325.908173  325.828958
24     324.894623  324.793326
25     330.933838  330.797820
26     317.187408  317.147376
27     311.176666  311.094651
28     344.231628  344.085427
29     336.812012  336.634253
30     433.640350  433.283515
31     312.340607  312.243911
32     311.347351  311.254121
33     317.963593  317.902374
34     311.210052  311.130432
35     368.909241  368.559352
36     321.496826  321.432172
37     311.090271  311.018109
38     316.843140  316.809018
39     310.356323  310.338740
40     312.763245  312.694673
41     396.142395  395.637784
42     312.242981  312.152391
43     341.890533  341.698194
44     311.087280  311.010205
45     401.615173  401.113775
46     320.724365  320.664766
47     462.450256  462.135093
48     433.149200  432.630168
49     443.351685  442.935704
50     324.843445  324.694920
51     445.311737  444.819486
52     315.592468  315.522679
53     311.524536  311.434686
54     311.105865  311.103349
55     390.809662  390.314920
56     414.259338  413.729760
57     310.324249  310.307136
58     324.220764  324.136712
59     428.458130  427.932580
60     362.676392  362.340773
61     310.648071  310.589326
62     334.864227  334.739458
63     319.992645  319.919221
64     322.289124  322.218746
65     334.690155  334.524703
66     323.959747  323.854295
67     311.115326  311.036604
68     318.164917  318.131560
69     361.268799  361.008855
70     322.489258  322.419751
71     310.638519  310.588300
72     319.689148  319.582950
73     314.432922  314.365806
74     310.441620  310.398246
75     310.882568  310.821070
76     312.762878  312.664712
77     324.727783  324.638316
78     380.790619  380.405200
79     459.947693  459.690228
80     319.374512  319.336087
81     400.345673  399.823754
82     310.630829  310.572049
83     312.245972  312.166965
84     425.847717  425.322388
85     310.245575  310.242180
86     462.522827  462.808362
87     332.540710  332.419547
88     323.122406  323.026416
89     321.897766  321.853774
90     315.396240  315.332402
91     312.050873  311.973102
92     332.805664  332.658029
93     325.404572  325.318905
94     310.673676  310.613907
95     455.052185  454.493589
96     346.037567  345.873094
97     322.483704  322.389934
98     311.192108  311.113860
99     445.812286  445.395562
100    312.675812  312.579707
101    471.003540  471.051930
102    421.849304  421.328771
103    353.352112  353.145898
104    310.395569  310.383618
105    322.560608  322.498310
106    347.089020  346.845547
107    346.127991  345.950607
108    310.685211  310.634210
109    381.319397  380.908116
110    311.137787  311.051259
111    325.372681  325.259262
112    350.585175  350.358178
113    350.934845  350.713794
114    420.907257  420.447036
115    460.467163  460.515422
116    417.046661  416.521986
117    352.422913  352.191034
118    310.742981  310.749412
119    310.407990  310.377416
120    403.899231  403.435163
121    457.003357  456.483715
122    387.866058  387.389672
123    379.125854  378.717994
124    403.056030  402.541012
125    459.222137  459.400157
126    318.018524  317.982957
127    310.292786  310.278986
128    403.162109  402.638960
129    314.653717  314.588809
130    333.523682  333.370029
131    312.758209  312.734262
132    338.277740  338.116258
133    310.738892  310.682095
134    347.635437  347.447994
135    406.558411  405.983872
136    431.528381  431.023706
137    322.770294  322.690443
138    317.324585  317.283388
139    312.411957  312.326654
140    420.523621  420.015118
141    379.871674  379.455735
142    310.896545  310.826234
143    357.802246  357.539688
144    321.421661  321.335621
145    410.782471  410.331342
146    315.154510  315.130212
147    454.432861  454.195087
148    311.276703  311.184523
149    413.792847  413.269706
150    321.453644  321.408204
151    367.115662  366.788183
152    351.909119  351.692555
153    311.041016  310.963902
154    310.428345  310.400929
155    356.404663  356.134695
156    362.161591  361.918883
157    312.195557  312.103726
158    408.413605  407.985604
159    339.149414  338.963038
160    310.382782  310.338934
161    395.873138  395.365261
162    335.023712  334.865856
163    367.481476  367.156658
164    311.221497  311.138358
165    459.338562  459.284212
166    320.324615  320.242640
167    321.198334  321.108337
168    313.427399  313.416842
169    323.381531  323.321753
170    315.138458  315.059456
171    403.247803  402.730601
172    316.059998  316.005099
173    369.381226  369.466976
174    329.402283  329.284402
175    312.451904  312.369799
176    318.214081  318.158772
177    314.262817  314.186978
178    426.586334  426.096112
179    313.732239  313.660952
180    329.592072  329.468522
181    312.698273  312.627466
182    313.436249  313.413535
183    428.061890  427.550049
184    327.149994  327.051916
185    452.020081  451.465433
186    313.623993  313.554355
187    315.788147  315.742850
188    340.123291  339.937312
189    335.386108  335.230624
190    317.126190  317.070842
191    337.552765  337.386085
192    310.206848  310.156046
193    342.210632  342.032732
194    311.146423  311.071702
195    372.552307  372.202267
196    371.225464  370.892065
197    456.620544  456.815544
198    327.271790  327.163305
199    336.583862  336.453284
200    431.342468  430.807246
201    325.995392  325.880185
202    326.199493  326.090736
203    348.689514  348.425945
204    313.494965  313.419084
205    334.002289  333.829259
206    337.192383  337.029323
207    313.147766  313.073449
208    311.088593  311.014326
209    313.993164  313.916363
210    329.441162  329.316878
211    311.497375  311.404615
212    324.830627  324.749470
213    337.659912  337.481357
214    336.500122  336.324479
215    427.558472  427.053896
216    321.552368  321.466540
217    310.434296  310.415818
218    341.613770  341.426626
219    350.295807  350.105668
220    311.372711  311.347883
221    345.025879  344.850668
222    380.367249  379.957796
223    311.738708  311.645052
224    377.934937  377.533824
225    310.499695  310.474653
226    328.551605  328.442565
227    311.033905  310.971140
228    311.888428  311.786871
229    324.359497  324.269074
230    320.795166  320.707686
231    313.545197  313.508417
232    370.369873  370.016057
233    450.569550  450.176298
234    310.589661  310.537627
235    327.428375  327.314417
236    459.531708  459.412099
237    312.223053  312.129335
238    324.697845  324.642894
239    314.146606  314.126704
240    310.809326  310.744526
241    316.022766  315.972981
242    313.084900  313.002863
243    321.351898  321.286561
244    385.967926  385.516758
245    311.060028  310.985220
246    324.948730  324.876857
247    319.888641  319.833743
248    373.839874  373.468103
249    310.714600  310.655115
250    457.459747  457.319737
251    332.260834  332.129548
252    314.462769  314.404751
253    310.698730  310.645457
254    331.770966  331.642801
255    345.799072  345.614436
256    354.884277  354.661771
257    348.636841  348.433304
258    457.454834  457.637617
259    311.203308  311.117516
260    398.833435  398.295897
261    426.602997  426.081466
262    438.568604  438.096565
263    311.371948  311.377079
264    437.239319  436.774724
265    438.571411  438.052233
266    445.273865  444.946856
267    310.694672  310.636409
268    310.697113  310.640675
269    368.610260  368.299893
270    310.692078  310.631668
271    312.008453  311.916228
272    459.108673  459.245512
273    339.949707  339.858384
274    399.469452  399.145852
275    382.523376  382.099351
276    310.552521  310.496583
277    316.480103  316.427346
278    313.012238  312.915825
279    350.660492  350.429586
280    337.775757  337.607527
281    314.208221  314.144407
282    313.048889  312.962835
283    314.283356  314.212994
284    351.460999  351.249821
285    353.279785  353.040899
286    310.657990  310.614362
287    456.297852  456.650646
288    354.892334  354.652509
289    334.149017  333.993641
290    374.844116  374.446120
291    323.638489  323.540416
292    328.393250  328.270996
293    333.685059  333.532480
294    311.793701  311.712734
295    373.214050  372.859829
296    313.263885  313.185476
297    310.391357  310.390278
298    317.493927  317.439944
299    319.620911  319.586176
300    314.367493  314.289061
301    310.274780  310.216005
302    319.128754  319.083451
