            Guess        True
0      536.534424  536.584807
1      527.158691  526.873135
2      319.373383  319.447856
3      310.546143  310.539037
4      317.144592  316.994968
5      311.145630  311.085072
6      324.938019  324.985340
7      351.602356  351.598390
8      312.420837  312.443435
9      450.244751  450.189781
10     506.458710  506.171765
11     461.874023  461.785787
12     318.155212  318.207223
13     310.168030  310.150795
14     311.111359  311.050111
15     391.603638  391.423079
16     319.636383  319.587770
17     501.281738  501.014735
18     312.021301  312.039602
19     312.771301  312.685406
20     310.915619  310.873105
21     321.414490  321.478448
22     489.665100  489.655014
23     313.044098  313.050425
24     313.158997  313.165231
25     415.550995  415.372020
26     317.578979  317.591625
27     310.239166  310.205290
28     337.050293  337.005603
29     324.716492  324.754186
30     343.243622  343.467416
31     323.860016  323.787022
32     329.376801  329.380651
33     459.843811  459.662853
34     316.612061  316.668387
35     475.438904  475.281130
36     311.093872  311.030012
37     341.559265  341.539887
38     334.860565  334.813417
39     520.424988  520.174374
40     424.228516  424.142070
41     520.426453  520.123508
42     502.533600  502.278519
43     312.186859  312.100629
44     311.273865  311.178570
45     313.855286  314.038315
46     317.370941  317.370539
47     311.099976  311.063344
48     364.524567  364.474050
49     435.861969  435.713990
50     320.591278  320.659442
51     311.009918  310.958708
52     316.430481  316.346701
53     310.323242  310.325826
54     355.864899  355.684962
55     521.808228  521.574481
56     312.486816  312.520512
57     389.597778  389.514835
58     312.068237  312.015370
59     339.511322  339.475269
60     310.980103  310.951343
61     394.589661  394.566850
62     319.864960  319.944667
63     453.562866  453.456462
64     423.567322  423.481758
65     433.792664  433.709392
66     323.664246  323.656783
67     434.931061  434.866782
68     393.627930  393.793800
69     313.207794  313.390335
70     315.103333  315.139373
71     532.821777  532.705937
72     482.704742  482.487746
73     311.403473  311.346779
74     311.018066  311.038081
75     384.678925  384.604217
76     406.239166  406.173741
77     310.312042  310.296384
78     323.124146  323.178287
79     419.221741  419.186376
80     358.560883  358.551595
81     310.554749  310.559265
82     333.086212  333.049493
83     319.190613  319.250235
84     321.322815  321.392004
85     332.923553  332.847506
86     322.977844  322.912153
87     536.562195  536.568571
88     311.047882  310.975937
89     317.524200  317.585035
90     357.517059  357.470862
91     321.612305  321.578003
92     310.579834  310.558310
93     318.890442  318.909616
94     314.112549  314.077292
95     310.418610  310.381259
96     532.311890  532.144899
97     310.809814  310.775151
98     312.577637  312.492632
99     323.588470  323.645372
100    375.413391  375.441972
101    452.105286  451.993761
102    318.649536  318.706985
103    535.389893  535.371054
104    502.218048  501.949837
105    393.398590  393.381553
106    310.539398  310.543171
107    496.120605  496.203186
108    312.105408  312.028948
109    531.593933  531.376457
110    416.941010  416.812688
111    384.382629  384.580973
112    310.234650  310.235872
113    361.114166  361.367293
114    474.855408  474.672487
115    330.909821  330.890177
116    322.195770  322.142040
117    321.020416  321.052011
118    314.967926  314.977710
119    342.636078  342.826638
120    311.837311  311.848340
121    331.128235  331.112312
122    534.026794  533.929392
123    405.687164  405.492907
124    397.930328  397.955422
125    324.344208  324.277296
126    310.582550  310.582164
127    443.841797  443.718496
128    343.439209  343.406986
129    440.776398  440.527792
130    321.595673  321.549426
131    311.068298  311.047905
132    436.014343  435.889444
133    312.495087  312.413445
134    464.456604  464.338295
135    413.252563  413.137172
136    350.224884  350.167954
137    310.291260  310.367633
138    321.575531  321.652391
139    344.253510  344.236837
140    343.516632  343.479213
141    310.617737  310.601078
142    375.909088  375.908496
143    311.067291  310.989589
144    324.298065  324.219102
