            Guess        True
0      351.656799  352.624025
1      327.955841  328.321067
2      367.503052  368.071780
3      313.256744  313.360364
4      366.724182  367.505693
5      320.127289  320.453213
6      336.828522  337.342901
7      311.617096  311.613294
8      311.943420  311.944407
9      366.973480  366.905018
10     310.214386  310.205051
11     365.353821  366.317160
12     310.391479  310.364704
13     320.700775  321.045179
14     313.402161  313.465141
15     316.408234  316.294462
16     325.399628  325.781536
17     318.101379  318.298379
18     330.508148  330.956190
19     310.803070  310.791066
20     334.572174  335.077664
21     317.179199  317.420347
22     311.554413  311.554996
23     317.179413  317.417662
24     319.853333  320.120948
25     329.967346  330.315753
26     364.813751  365.781072
27     310.599884  310.576404
28     342.413696  343.170714
29     314.414795  314.412361
30     343.802551  344.729729
31     310.629181  310.610405
32     310.973938  310.959411
33     325.431641  325.840009
34     369.278595  369.568359
35     331.941528  332.337729
36     314.521851  314.672861
37     320.839111  321.094998
38     367.733826  367.842848
39     318.075684  318.285135
40     322.367645  322.533550
41     320.707245  320.737235
42     353.242828  354.333519
43     312.755646  312.815045
44     311.809326  311.823355
45     360.222107  361.351867
46     312.294556  312.296170
47     311.288727  311.289428
48     319.592865  319.912141
49     331.782257  332.095384
50     333.585693  334.000562
51     367.723114  368.587477
52     317.015991  317.184226
53     351.715057  352.765010
54     312.063263  312.080799
55     320.692719  320.962707
56     313.852112  313.929239
57     324.270935  324.620139
58     318.559204  318.756200
59     328.234894  328.641270
60     310.599121  310.586758
61     312.843994  312.906629
62     341.733276  342.434585
63     340.252014  340.851549
64     310.467377  310.453953
65     345.736755  346.453237
66     338.029327  338.684161
67     368.415222  368.517624
68     312.949310  312.819303
69     311.771362  311.775410
70     361.338837  362.317788
71     310.634399  310.618723
72     314.488159  314.587372
73     311.057617  311.042900
74     319.586639  319.906436
75     339.190918  339.770853
76     369.622101  370.141709
77     310.567383  310.533958
78     324.634735  324.990293
79     318.082642  318.360711
80     310.284180  310.248839
81     320.986847  321.236889
82     312.319641  312.352718
83     324.302704  324.669598
84     334.122467  334.774983
85     334.526917  334.985035
86     312.747772  312.805977
87     362.173676  363.188161
88     317.187744  317.361849
89     319.981079  320.122113
90     351.550476  352.397112
91     336.495239  336.861584
92     310.763641  310.755310
93     311.394745  311.400744
94     363.409149  364.452159
95     312.398132  312.425471
96     310.978821  310.965320
97     329.754700  330.099625
98     311.012756  311.001566
99     313.715973  313.790569
100    311.408447  311.410306
101    311.217316  311.210235
102    317.874725  317.846966
103    313.149658  313.246444
104    361.108521  362.209920
105    312.086487  312.113016
106    322.132446  322.281662
107    320.410522  320.732579
108    321.750061  322.017128
109    315.997925  316.134158
110    318.916382  318.988143
111    360.799194  361.418835
112    311.039062  311.031823
113    311.494904  311.501034
114    311.869263  311.887888
115    359.326416  360.487689
116    317.743317  317.921613
117    316.564941  316.775303
118    311.020142  311.007912
119    311.568359  311.541133
120    351.724426  352.828043
121    345.912079  346.571913
122    359.387329  360.537879
123    312.748413  312.825918
124    319.313629  319.538234
125    322.036041  322.200513
126    311.552765  311.569581
127    323.593597  324.021868
128    310.726593  310.709616
129    354.010437  355.119753
130    314.546021  314.646118
131    310.471924  310.445662
132    320.994995  321.341742
133    310.933960  310.919631
134    366.096924  367.029214
135    311.282867  311.282942
136    331.457184  331.731978
137    323.955933  324.274250
138    367.185944  366.972936
139    365.163910  366.126910
140    364.278015  365.215506
141    318.166779  318.288462
142    313.480438  313.568125
143    310.410889  310.397035
144    311.877411  311.872681
145    319.057861  319.307478
146    313.168518  313.236144
147    363.338013  364.382896
148    316.564636  316.776833
149    323.537750  323.846803
150    332.706512  333.113241
151    342.294006  342.707324
152    313.837646  313.908337
153    311.732819  311.760390
154    355.056610  355.186655
155    341.161652  342.001470
156    334.205688  334.658290
157    350.140625  350.956749
158    312.064301  312.091000
159    320.691956  320.943763
160    321.001495  321.358968
161    332.869659  333.287777
162    311.938873  311.948804
163    329.921661  330.251333
164    311.943085  311.944462
165    343.827301  344.805782
166    316.828186  316.995241
167    310.599823  310.586841
168    313.153168  313.230520
169    312.010986  312.020467
170    310.612457  310.592630
171    310.302155  310.298897
172    321.274017  321.524925
173    310.880371  310.868722
174    318.921265  319.100705
175    337.472321  338.146041
176    310.313751  310.306634
177    312.310669  312.343696
178    321.330292  321.600470
179    341.714447  342.348234
180    311.011108  311.003443
181    315.716431  315.823534
182    360.145752  360.833626
183    310.497833  310.519348
184    323.944641  324.308359
185    348.033020  349.088950
186    316.972137  317.182173
187    314.386383  314.481244
188    314.106018  314.205243
189    313.258026  313.358685
190    316.179993  316.358763
191    323.721161  323.845179
192    315.997528  316.133974
193    317.633087  317.895321
194    310.975739  310.964214
195    311.187622  311.185177
196    312.027130  312.048318
197    329.052155  329.485131
198    310.467194  310.501234
199    311.237030  311.244661
200    317.021729  317.157800
201    366.214172  365.760675
202    322.426544  322.615544
203    363.639587  364.658191
204    321.299469  321.624908
205    312.482635  312.537591
206    324.674927  325.064145
207    321.922607  322.244807
208    347.177948  347.989344
209    318.124054  318.315135
210    314.820770  314.944131
211    313.049103  313.132483
212    312.958344  313.024605
213    312.574982  312.630041
214    310.538879  310.527813
215    310.567535  310.558901
216    312.205719  312.230785
217    311.439240  311.440804
218    311.329102  311.335254
219    366.998871  367.905682
220    311.950195  311.745249
221    310.872620  310.860202
222    323.513550  323.778101
223    311.866791  311.886497
224    341.698669  342.314428
225    344.697296  345.307949
226    317.618591  317.792095
227    311.660065  311.678308
228    315.803223  315.931285
229    313.603790  313.668111
230    310.829895  310.827313
231    318.355042  318.518171
232    311.238586  311.236155
233    313.154663  313.232892
234    310.461761  310.482636
235    311.873993  311.890806
236    311.347046  311.359482
237    321.646973  321.786837
238    316.378479  316.604161
239    315.292938  315.414470
240    311.338165  311.342023
241    310.618713  310.590321
242    316.180267  316.351028
243    315.097961  315.219793
244    311.741089  311.738848
245    360.202942  361.335683
246    311.367493  311.366272
247    341.791656  342.573660
248    322.569885  322.926203
249    354.782562  355.838258
250    310.720947  310.701634
251    311.934967  311.957713
252    319.043335  319.248215
253    367.484802  368.051314
254    330.268616  330.509632
255    326.706665  326.969555
256    310.901367  310.886135
257    310.237030  310.219689
258    313.260559  313.342822
259    325.369751  325.703664
260    310.357483  310.349700
261    319.888062  320.126806
262    317.569061  317.731758
263    310.810150  310.796130
264    350.211884  351.238127
265    313.107513  313.151782
266    314.843811  314.937952
267    335.058777  335.486201
268    310.445221  310.351334
269    310.942169  310.862026
270    312.845490  312.891615
271    331.070496  331.634051
272    311.760101  311.768048
273    311.359863  311.386805
274    314.178802  314.198864
275    310.569061  310.552843
276    329.447113  329.781597
277    310.779449  310.767022
278    333.497314  333.930304
279    319.576782  319.810998
280    313.399078  313.481517
281    334.016663  334.452614
282    353.520081  354.461179
283    322.504883  322.688910
284    344.513214  345.510674
285    354.757538  355.919953
286    368.654572  369.363365
287    320.438354  320.604640
288    337.997253  338.576756
289    312.754639  312.813304
290    323.926880  324.275752
291    311.057617  311.048415
292    344.244873  344.962817
293    329.369873  329.719591
294    349.477051  350.513286
295    314.355835  314.450926
296    328.003296  328.322589
297    364.698425  365.457749
298    327.390289  327.806179
299    338.693024  339.113065
300    313.258484  313.339973
301    315.812775  315.988092
302    320.407532  320.513711
303    311.091156  311.098046
304    313.398895  313.481716
305    310.945740  310.929773
306    359.324554  360.486161
307    349.470734  349.584221
308    311.157410  311.153762
309    310.790314  310.770001
310    323.413605  323.518582
311    327.484436  327.887824
312    321.880981  322.143675
313    316.065643  316.116097
314    320.094635  320.331389
315    333.277222  333.557232
316    311.847748  311.885619
317    347.264771  348.189480
318    338.072113  338.836492
319    325.004730  325.347772
320    333.711700  334.059891
321    322.238861  322.555941
322    312.520630  312.551522
323    314.739136  314.844032
324    318.638153  318.840800
325    324.252716  324.562867
326    310.643982  310.556844
327    317.184479  317.368177
328    313.974487  314.102720
329    365.303711  365.531470
330    342.077728  342.726725
331    325.005066  325.361325
332    361.125092  362.223204
333    331.492371  332.002878
334    311.234314  311.230190
335    320.703552  320.999025
336    331.557648  332.144689
337    312.835419  312.881020
338    311.168152  311.180056
339    316.972198  317.163908
340    313.263458  313.313230
341    310.620056  310.600125
342    310.845795  310.838294
343    310.459167  310.446603
344    333.814819  334.184175
345    357.972473  358.978575
346    311.353058  311.379877
347    310.271881  310.239603
348    310.955444  310.947529
349    310.741394  310.732752
350    313.598511  313.686351
351    315.812622  315.976424
352    310.299255  310.293068
353    311.333069  311.332630
354    335.759033  336.506894
355    310.665222  310.656247
356    315.502472  315.618088
357    313.718842  313.813629
358    310.864594  310.848595
359    339.825439  340.443132
360    348.709717  349.656913
361    311.718079  311.708800
362    317.433594  317.617630
363    321.921204  322.266028
364    319.314728  319.602145
365    370.388153  370.504528
366    322.584595  322.781171
367    343.943054  344.649472
368    312.948425  313.018018
369    311.293701  311.293888
370    317.175568  317.348774
371    311.096588  311.089040
372    324.306763  324.684111
373    321.037964  321.179524
374    312.573761  312.626456
