            Guess        True
0      345.408203  346.746688
1      314.282410  314.344606
2      327.154907  327.637416
3      311.841095  311.780352
4      312.277130  312.232769
5      310.221558  310.201799
6      311.671051  310.565625
7      328.383026  328.873943
8      314.704437  314.799223
9      338.786255  339.369263
10     323.147522  323.478619
11     350.099701  351.532786
12     310.972839  310.870694
13     357.218018  357.816040
14     321.173920  321.558585
15     311.763824  311.702429
16     321.171906  321.554898
17     326.538879  326.977042
18     335.435547  334.291197
19     310.930420  310.761816
20     318.652130  318.965172
21     310.603516  310.584885
22     311.020874  310.964743
23     338.884735  339.462919
24     316.349915  316.528783
25     328.681274  329.107131
26     322.904236  323.273853
27     314.190735  314.169926
28     312.212341  312.173398
29     315.217102  314.326681
30     311.683899  311.619199
31     326.023163  326.505838
32     321.347961  321.582021
33     312.745087  312.737988
34     328.318726  328.750026
35     315.155273  315.289832
36     336.218903  336.742020
37     323.844360  324.221554
38     345.156433  346.088514
39     310.563110  310.557768
40     313.609467  313.643378
41     310.448761  310.438004
42     352.064178  349.240018
43     312.245850  312.212569
44     310.599945  310.589398
45     316.542633  316.699735
46     311.123322  311.062127
47     326.016113  326.497480
48     348.707947  346.833503
49     310.714508  310.599687
50     337.038788  337.580811
51     322.941559  323.380465
52     310.363831  310.256751
53     328.913330  329.346036
54     312.899719  312.900277
55     336.303589  336.821114
56     355.335876  354.348683
57     313.463318  313.489300
58     321.144928  321.478205
59     329.975006  330.269066
60     310.855255  310.778261
61     312.068604  311.970704
62     312.927399  312.922047
63     311.012939  310.969945
64     336.742157  335.292383
65     311.069000  311.013325
66     315.136078  315.255243
67     311.637482  311.566301
68     311.471771  311.391306
69     314.115326  314.164392
70     312.503143  312.462962
71     327.747925  328.227058
72     331.986145  332.227043
73     318.884827  319.169772
74     311.209534  311.125195
75     311.680939  311.630115
76     312.190552  312.148724
77     323.420837  323.531014
78     319.994751  320.336662
79     311.068939  311.018954
80     313.878571  312.915687
81     313.498932  313.511253
82     325.403290  325.800065
83     332.928406  334.034315
84     311.778748  311.716539
85     334.792358  335.317055
86     310.710358  310.686592
87     316.734161  316.882009
88     310.574585  310.469281
89     329.014709  329.504568
90     310.972107  310.919171
91     311.654816  311.587897
92     336.118591  336.572576
93     326.330109  326.154077
94     314.597260  314.690597
95     310.372284  310.380280
96     312.181610  312.133394
97     324.889404  325.310451
98     316.120300  315.631232
99     319.995911  320.338721
100    335.516693  335.919247
101    315.551514  315.658239
102    312.026337  311.970877
