            Guess        True
0      465.284302  465.345526
1      537.742554  537.697426
2      320.825867  320.820254
3      310.799683  310.788234
4      314.021027  314.078216
5      311.883972  311.876986
6      329.384216  329.406787
7      368.117310  368.095089
8      312.707062  312.696464
9      466.506897  466.485505
10     441.441315  441.430524
11     481.568237  481.519306
12     318.197876  318.186992
13     310.153168  310.151178
14     311.923431  311.915973
15     355.429993  355.379032
16     316.571808  316.554826
17     515.271240  515.251403
18     311.904541  311.914612
19     314.928619  314.902995
20     311.234253  311.234259
21     328.970734  328.996649
22     406.775513  406.709302
23     312.689575  312.709581
24     312.786469  312.806913
25     370.399048  370.417482
26     315.066681  315.038703
27     310.243774  310.240111
28     346.995178  347.022457
29     325.900146  325.908676
30     327.519531  327.743576
31     321.203247  321.228643
32     333.537476  333.560497
33     395.270386  395.280419
34     318.699860  318.683410
35     396.952332  396.889770
36     311.373840  311.373952
37     329.233215  329.255692
38     331.720001  331.721411
39     476.626465  476.632055
40     377.231812  377.258780
41     503.878235  503.876794
42     416.526978  416.504945
43     313.698303  313.676761
44     312.586121  312.576641
45     312.335480  312.255167
46     316.282837  316.310553
47     311.363068  311.360764
48     371.460815  371.426435
49     378.868408  378.799329
50     320.748871  320.745963
51     311.345520  311.344990
52     314.606720  314.612576
53     310.470551  310.452292
54     335.603699  335.545510
55     473.201263  473.204807
56     312.718658  312.710312
57     396.175873  396.157061
58     312.486908  312.473604
59     329.954895  329.946103
60     311.212891  311.211138
61     386.390198  386.378010
62     323.329865  323.333746
63     417.690338  417.720780
64     388.707855  388.726763
65     442.483704  442.501807
66     318.975586  318.953187
67     411.351562  411.391340
68     354.988037  355.007030
69     311.986145  311.904379
70     313.432953  313.403092
71     479.465668  479.500786
72     425.793030  425.796415
73     311.803131  311.797985
74     311.034454  311.034332
75     390.564636  390.538999
76     380.296661  380.290992
77     310.387451  310.387282
78     322.890594  322.893770
79     397.371521  397.396455
80     340.807983  340.798944
81     310.990784  310.974338
82     346.223267  346.257182
83     327.136261  327.145561
84     326.281799  326.298782
85     328.147766  328.154038
86     320.398102  320.426349
87     458.515564  458.571593
88     312.357910  312.352356
89     317.385071  317.380518
90     355.203400  355.167843
91     319.888794  319.909645
92     311.259949  311.239123
93     315.882843  315.856230
94     317.839081  317.814641
95     310.475677  310.476749
96     498.475128  498.488779
97     311.992523  311.988792
98     314.443604  314.418891
99     328.532990  328.555882
100    395.344543  395.291397
101    431.925629  431.949318
102    318.311218  318.309176
103    508.425171  508.414678
104    474.860413  474.846691
105    378.814636  378.793724
106    310.933350  310.916527
107    408.914490  408.874152
108    313.108551  313.089806
109    519.692749  519.653485
110    417.034851  417.063464
111    349.401215  349.530490
112    310.309967  310.295406
113    337.304260  337.435853
114    424.560242  424.569675
115    342.814362  342.853407
116    320.000092  320.026852
117    320.248688  320.249705
118    320.065216  320.043048
119    327.154846  327.379571
120    312.110565  312.100515
121    337.056641  337.085831
122    492.785828  492.819742
123    363.135468  363.083268
124    357.801178  357.746923
125    321.839325  321.859982
126    311.027344  311.012965
127    391.955414  391.984032
128    358.617493  358.621467
129    382.378479  382.332492
130    319.557312  319.584470
131    311.301056  311.296429
132    432.959778  432.990579
133    314.203094  314.179016
134    399.439392  399.462510
135    409.787292  409.812651
136    353.119385  353.101282
137    310.688873  310.682832
138    324.197632  324.203734
139    332.616455  332.603225
140    356.251495  356.259341
141    310.885284  310.878450
142    390.901489  390.857194
143    312.072754  312.064899
144    321.169128  321.196864
145    337.450348  337.430051
146    337.292633  337.272779
147    461.664185  461.658277
148    371.229828  371.250158
149    456.324097  456.300372
150    382.011871  382.010735
151    334.227417  334.233381
152    310.654602  310.664372
153    310.513855  310.500835
154    411.855286  411.839484
155    400.839142  400.871447
156    358.702667  358.661093
157    388.038422  387.994705
158    457.094940  457.077999
159    365.357178  365.329861
160    430.274872  430.271740
161    447.301666  447.289304
162    319.168182  319.154672
163    310.343262  310.343603
164    381.002228  380.986221
165    316.357880  316.332136
166    340.414032  340.583493
167    490.677063  490.698097
168    328.523193  328.528673
169    312.068756  312.093641
170    329.980957  329.982920
171    479.317566  479.341246
172    310.780273  310.774546
173    334.156281  334.144660
174    375.694885  375.630906
175    370.342834  370.320858
176    442.692505  442.686123
177    409.013550  409.048790
178    329.811249  329.838904
179    318.929291  318.913686
180    312.638092  312.623733
181    424.326843  424.339239
182    458.435486  458.466892
183    376.054932  376.019338
184    311.031921  311.034975
185    349.651428  349.617687
186    318.886810  318.913021
187    366.071960  366.087701
188    314.202637  314.225695
189    455.803772  455.795806
190    312.369110  312.360211
191    410.716431  410.727034
192    485.895813  485.922998
193    322.384979  322.384780
194    376.961609  376.922661
195    410.849121  410.817201
196    355.890564  355.881530
197    311.260010  311.261430
198    310.585571  310.557933
199    338.778320  338.758743
200    339.581238  339.591401
201    312.547882  312.533919
202    364.126312  364.149332
203    333.875122  333.873031
204    310.398895  310.399174
205    393.435913  393.417974
206    332.538269  332.543635
207    343.109558  343.107644
208    311.464447  311.463666
209    457.224579  457.203068
210    317.747437  317.779206
