            Guess        True
0      335.126190  335.208419
1      321.769470  321.788984
2      354.328491  354.366200
3      345.083160  345.143036
4      310.902954  311.079078
5      330.768066  330.802418
6      312.666870  312.710175
7      344.104340  344.162007
8      331.540222  331.560168
9      364.813690  364.836449
10     346.478851  346.501419
11     367.839172  367.968169
12     317.341217  317.345430
13     322.622314  322.645271
14     365.193909  365.209598
15     334.288300  334.302103
16     372.083130  372.091058
17     326.309937  326.347067
18     332.222565  332.211135
19     333.436249  333.405058
20     355.389709  355.427473
21     311.415436  311.406410
22     311.679718  311.671586
23     345.803040  345.856378
24     364.166260  364.202447
25     310.164886  310.192140
26     342.644196  342.688295
27     329.759369  329.799604
28     310.295776  310.291694
29     312.906342  312.887684
30     351.692780  351.729333
31     317.703552  317.705833
32     312.686768  312.734039
33     313.587463  313.613163
34     320.588745  320.566212
35     316.011047  316.006987
36     330.011841  330.040271
37     344.560669  344.615505
38     323.561005  323.568848
39     310.734589  310.701552
40     325.853546  325.880621
41     315.418823  315.445489
42     369.847473  369.989414
43     311.371460  311.357764
44     352.009277  352.051719
45     315.417786  315.444810
46     371.591980  371.540744
47     317.155212  317.158870
48     322.601288  322.634193
49     367.890656  367.903336
50     341.481567  341.478179
51     342.664398  342.729660
52     310.495850  310.479773
53     330.154358  330.222185
54     312.857269  312.858916
55     371.313873  371.417966
56     330.918365  330.988586
57     310.514038  310.515007
58     310.855652  310.849306
59     320.598267  320.579741
60     346.566711  346.602310
61     323.744385  323.780601
62     364.657593  364.695333
63     371.538696  371.632729
64     313.588165  313.629006
65     317.803223  317.778819
66     371.888489  371.927500
67     369.939026  370.017916
68     346.584900  346.646214
69     315.993103  316.017515
70     317.383636  317.426219
71     328.108276  328.074519
72     316.182404  316.219028
73     335.990814  336.077218
74     354.902832  354.948789
75     312.121582  312.154675
76     311.556030  311.548587
77     339.896790  339.977205
78     311.568573  311.561458
79     311.076965  311.077290
80     371.988617  371.982588
81     316.995880  317.004050
82     322.745026  322.795027
83     327.312286  327.287856
84     324.198853  324.237500
85     344.063171  344.111694
86     315.230316  315.226484
87     335.162354  335.245729
88     311.663757  311.691043
89     337.586731  337.599731
90     371.541504  371.651575
91     317.691956  317.685921
92     313.105530  313.131833
93     348.991394  349.003002
94     319.915283  319.888909
95     316.306335  316.322466
96     359.616364  359.687935
97     322.255981  322.247468
98     333.282501  333.293655
99     310.496002  310.485794
100    365.876404  365.965311
101    312.374329  312.391802
102    329.788910  329.851458
103    335.608063  335.634305
104    328.270813  328.309562
105    310.391418  310.392525
106    331.959686  332.022429
107    371.627716  371.731446
108    327.762909  327.813265
109    346.239227  346.294842
110    326.079498  326.044337
111    311.623291  311.645992
112    311.474152  311.481147
113    371.912048  371.942963
114    340.167175  340.226200
115    354.937500  354.940946
116    349.644592  349.698815
117    310.530273  310.516785
118    313.471680  313.518671
119    353.541321  353.576479
120    310.930054  310.924351
121    371.775787  371.851117
122    316.994232  317.002659
123    328.400055  328.449093
124    346.043121  346.086491
125    310.505524  310.476045
126    320.136139  320.108872
127    316.019135  316.036382
128    310.247498  310.236069
129    340.519958  340.522658
130    317.878387  317.863455
131    322.085510  322.038538
132    368.983704  369.145175
133    339.044434  339.050560
134    311.956116  311.964541
135    364.753632  364.755373
136    367.423218  367.444654
137    319.920929  319.900464
138    325.610504  325.631218
139    325.010529  325.046977
140    312.303589  312.318195
141    340.758179  340.808495
142    315.396729  315.430659
143    316.573395  316.566724
144    335.105988  335.157690
145    325.349152  325.394714
146    310.710327  310.677708
147    311.107452  311.109347
148    366.421021  366.474329
149    372.148041  372.179045
150    341.721039  341.789498
151    312.043121  312.039126
152    357.532410  357.541918
153    310.850433  310.851071
154    322.499237  322.531664
155    310.896637  310.886740
156    355.154236  355.181649
157    312.938660  312.986627
158    342.135803  342.125657
159    358.066833  358.128751
160    311.255981  311.232110
161    311.072052  311.048677
162    357.772614  357.785990
163    314.528320  314.563272
164    350.658936  350.709198
165    354.898865  354.932392
166    312.588318  312.628972
167    355.131592  355.132179
168    340.335297  340.410608
169    311.782898  311.793337
170    317.615875  317.633145
171    317.520020  317.520777
172    318.145081  318.118191
173    359.642151  359.666279
174    371.633820  371.729020
175    314.593140  314.633938
176    315.590027  315.604510
177    340.015228  340.072755
178    310.945343  310.911473
179    311.311188  311.311047
180    371.631165  371.726604
181    311.612640  311.619984
182    339.461029  339.551714
183    315.622406  315.592236
184    314.999115  315.032940
185    310.891968  310.888639
186    311.056305  311.054563
187    371.887726  371.926919
188    344.241089  344.230629
189    354.042572  354.043436
190    351.855865  351.871295
191    335.174957  335.266169
192    331.098480  331.135792
193    339.455780  339.541172
194    312.287689  312.323831
195    316.803253  316.810462
196    317.749786  317.756039
197    371.991394  371.983136
198    310.690857  310.655431
199    328.494263  328.497010
200    311.356506  311.362100
201    372.272675  372.283502
202    319.488281  319.487814
203    310.622131  310.610599
204    336.410950  336.498684
205    313.497040  313.538841
206    310.438660  310.407255
207    317.888947  317.888713
208    355.434143  355.501438
209    310.819916  310.812989
210    343.120850  343.164255
211    360.136047  360.199363
212    311.080719  311.078676
213    349.662292  349.728058
214    334.429199  334.404544
215    322.410065  322.457372
216    371.764008  371.852238
217    371.605713  371.709995
218    359.103668  359.145652
219    319.618225  319.598657
220    347.607483  347.669342
221    342.664673  342.705019
222    342.688293  342.764108
223    315.478058  315.463092
224    312.844971  312.870146
225    310.321320  310.331950
226    311.625610  311.615507
227    362.086548  362.067654
228    316.641418  316.653593
229    312.292328  312.280980
230    341.724091  341.796020
231    314.999847  315.033331
232    319.305206  319.286980
233    323.829315  323.865361
234    354.379700  354.451821
235    317.695160  317.678070
236    353.319061  353.371959
237    328.794067  328.833102
238    312.970032  313.015250
239    311.502045  311.514715
240    337.078674  337.115734
241    329.490967  329.547575
242    325.019104  325.057366
243    333.735840  333.783548
244    311.772919  311.771287
245    317.691650  317.681334
246    371.824188  371.864961
247    317.890076  317.892848
248    327.927704  327.851534
249    324.189941  324.226529
250    311.683105  311.672879
251    323.437225  323.462510
252    322.012329  322.053945
253    311.679626  311.671602
254    330.936890  331.005191
255    315.082458  315.074046
256    310.495483  310.480423
257    312.597900  312.624540
258    311.736267  311.729680
259    310.567139  310.532825
260    310.231903  310.250552
261    318.070099  318.046068
262    333.048706  333.062383
263    372.335022  372.337513
264    310.794708  310.774212
265    351.733215  351.754267
266    316.227081  316.202301
267    327.459839  327.499671
268    358.977722  358.993334
269    310.270386  310.272699
270    311.980286  311.975373
271    318.109619  318.079086
