            Guess        True
0      380.216064  380.223490
1      336.025909  336.083482
2      415.304932  415.378938
3      313.158569  313.097089
4      413.872620  413.932573
5      322.397064  322.439861
6      354.618286  354.657428
7      311.378876  311.295449
8      311.686157  311.613310
9      310.206146  310.186393
10     410.127411  410.181250
11     310.423737  310.442288
12     323.267853  323.309407
13     313.397369  313.416556
14     321.512878  321.382599
15     330.700775  330.694355
16     319.501404  319.516092
17     339.334625  339.373319
18     310.689362  310.656344
19     346.585144  346.636268
20     318.128387  318.166460
21     311.324707  311.240702
22     318.124634  318.163867
23     321.939209  321.975448
24     340.810760  340.853514
25     409.571777  409.619422
26     310.581696  310.579867
27     361.514221  361.561266
28     316.337402  316.362648
29     364.426361  364.448987
30     310.473938  310.455540
31     310.779907  310.722419
32     330.754333  330.761653
33     418.135712  418.184393
34     344.372345  344.412325
35     314.652557  314.631780
36     323.469147  323.473214
37     413.698059  413.708267
38     319.332581  319.372043
39     330.990448  331.029329
40     328.849182  328.865921
41     383.740265  383.746953
42     312.945435  312.974525
43     311.601288  311.571602
44     399.109009  399.196970
45     313.067780  313.087428
46     311.182617  311.182239
47     321.599274  321.644240
48     348.426666  348.499410
49     349.796570  349.857688
50     415.523254  415.551364
51     318.174561  318.183240
52     380.486328  380.478487
53     311.950378  311.968301
54     323.209656  323.222112
55     313.762390  313.761225
56     328.855316  328.844523
57     320.011627  320.038196
58     335.415192  335.433433
59     310.437897  310.436488
60     312.670929  312.604397
61     360.168945  360.196714
62     360.991547  361.042315
63     310.371368  310.352344
64     368.000946  368.002700
65     353.090881  353.137889
66     311.598907  311.599130
67     402.753418  402.841163
68     310.458160  310.458710
69     314.728729  314.751982
70     310.856873  310.790839
71     321.592529  321.638356
72     355.193176  355.231412
73     419.612061  419.610682
74     310.506653  310.465941
75     329.445404  329.434917
76     319.405426  319.447052
77     310.272247  310.225001
78     323.641937  323.641198
79     312.107330  312.082299
80     328.891632  328.900479
81     345.964996  345.968294
82     350.241821  350.274583
83     312.566284  312.496141
84     402.586731  402.714460
85     318.067383  318.109927
86     324.277374  324.313125
87     379.848969  379.869456
88     358.379425  358.458858
89     310.631348  310.591401
90     311.421387  311.429252
91     406.248016  406.304010
92     312.160828  312.097591
93     310.782318  310.726074
94     340.334320  340.379575
95     310.816620  310.756552
96     313.718079  313.736957
97     311.201416  311.145062
98     311.045837  311.022116
99     323.727509  323.757065
100    313.036682  312.970468
101    400.899567  400.984523
102    311.871338  311.775042
103    328.773621  328.801708
104    322.814819  322.854471
105    325.649445  325.671210
106    316.453613  316.487591
107    323.724243  323.739491
108    403.530334  403.647143
109    310.873962  310.835150
110    311.286255  311.189896
111    311.652863  311.554262
112    397.362488  397.433793
113    319.557617  319.554051
114    317.269897  317.307666
115    310.817413  310.760507
116    312.071045  312.095560
117    380.617767  380.613321
118    373.780762  373.850214
119    397.362915  397.440344
120    312.588623  312.511567
121    321.125763  321.147893
122    327.848694  327.886298
123    311.333710  311.250616
124    327.815735  327.842410
125    310.542328  310.526996
126    385.396881  385.413204
127    314.858826  314.880098
128    310.422638  310.374319
129    323.714386  323.752896
130    310.743164  310.690401
131    411.901398  411.940425
132    311.162964  311.160245
133    348.775635  348.780427
134    328.694458  328.727152
135    409.364075  409.276077
136    409.958435  410.005401
137    408.765289  408.835024
138    321.375946  321.407080
139    313.374878  313.340187
140    310.321869  310.311789
141    311.609894  311.543491
142    320.761505  320.803721
143    313.983337  314.002548
144    406.180939  406.242607
145    317.272400  317.309114
146    328.239288  328.268543
147    347.537048  347.576521
148    369.267334  369.411159
149    313.997040  314.020186
150    311.514923  311.429309
151    392.877197  392.811207
152    359.234528  359.254669
153    348.661407  348.699010
154    380.563019  380.654782
155    311.838562  311.798787
156    323.196716  323.202048
157    323.729156  323.771234
158    346.511993  346.544699
159    311.694641  311.616451
160    343.420837  343.478178
161    311.686401  311.613350
162    364.518219  364.557426
163    318.015411  318.019349
164    310.608032  310.609883
165    313.016296  312.957757
166    311.763397  311.687523
167    310.535767  310.494013
168    310.242126  310.246276
169    324.087219  324.080273
170    310.721466  310.662305
171    321.711914  321.724027
172    352.067566  352.111925
173    310.265564  310.253890
174    312.089478  312.012090
175    324.256561  324.261396
176    360.052307  360.079275
177    310.823639  310.757722
178    317.549408  317.573406
179    402.113800  402.238962
180    310.334015  310.380069
181    328.314667  328.326426
182    372.982513  372.983365
183    317.807007  317.854026
184    314.399567  314.415286
185    314.082275  314.083182
186    313.159546  313.095739
187    316.724701  316.767283
188    334.133270  334.175043
189    316.453461  316.487420
190    318.766541  318.802852
191    310.785400  310.725391
192    311.213104  311.216512
193    311.808472  311.775685
194    336.968018  337.023959
195    310.313721  310.368858
196    311.329926  311.335066
197    319.246704  319.265655
