            Guess        True
0      379.920288  379.796425
1      336.218933  336.246268
2      456.310120  456.184605
3      418.804901  418.713751
4      313.389130  313.648216
5      384.969849  385.064841
6      313.286438  313.125790
7      414.854431  414.757509
8      380.178833  380.172851
9      511.394287  511.470431
10     430.525299  430.494531
11     512.529358  512.411730
12     322.573608  322.552232
13     355.511230  355.593723
14     500.739441  500.497760
15     396.340820  396.399508
16     538.427979  538.325932
17     354.533234  354.477882
18     387.734436  387.770411
19     390.949738  390.946521
20     460.653870  460.517274
21     311.426178  311.306648
22     311.754333  311.627610
23     423.884094  423.854922
24     496.595703  496.374881
25     310.245697  310.186749
26     408.877930  408.788056
27     381.554962  381.656102
28     310.430573  310.444540
29     319.507416  319.531939
30     445.526123  445.418307
31     323.437195  323.428566
32     313.543579  313.448244
33     320.981079  321.034778
34     330.763977  330.862259
35     319.587738  319.603976
36     381.990723  382.075260
37     420.311096  420.298432
38     339.557251  339.570361
39     310.712372  310.661294
40     346.868896  346.825988
41     318.354431  318.242578
42     521.817993  521.756596
43     311.357941  311.251366
44     458.362762  458.376781
45     318.349731  318.239966
46     541.622742  541.546374
47     322.049835  322.084252
48     340.998932  340.949103
49     511.994080  511.773362
50     420.559235  420.568026
51     409.137329  409.036870
52     310.597076  310.584030
53     361.701569  361.605004
54     316.386169  316.397496
55     529.049438  528.960826
56     364.507996  364.427879
57     310.396667  310.458529
58     310.743469  310.728018
59     330.833649  330.929316
60     424.659088  424.559445
61     344.548187  344.483723
62     498.624390  498.397541
63     530.294312  530.213953
64     314.866577  314.675189
65     323.522614  323.594031
66     538.910034  538.953684
67     521.258850  521.241571
68     424.907623  424.813095
69     319.465485  319.458922
70     330.852295  330.853127
71     371.816864  371.802442
72     328.461609  328.500871
73     383.312378  383.179101
74     458.781311  458.618830
75     313.019501  313.001676
76     311.687134  311.585486
77     398.329956  398.205053
78     313.089447  313.109675
79     311.244385  311.192304
80     539.911987  539.849894
81     321.783875  321.750131
82     347.828339  347.864127
83     368.447601  368.415707
84     349.620270  349.599169
85     414.573120  414.458342
86     318.253204  318.258839
87     380.153442  380.026396
88     312.054016  311.985997
89     408.829224  408.902572
90     533.411255  533.324742
91     323.272217  323.340925
92     313.964813  313.796330
93     440.509949  440.476653
94     328.907288  329.002277
95     320.116089  320.130894
