            Guess        True
0      378.537659  381.912617
1      392.747101  392.706204
2      374.368439  374.321243
3      311.741211  311.971162
4      349.185852  349.556705
5      372.694885  372.635248
6      349.751526  349.940710
7      415.366577  415.350832
8      378.035156  378.098483
9      418.900146  418.531467
10     333.555237  334.041582
11     414.133301  413.891872
12     355.588165  355.908401
13     429.121857  429.087872
14     351.716431  351.856210
15     354.168030  354.114244
16     394.915833  394.874617
17     375.547302  375.547218
18     412.024963  411.806993
19     369.873260  369.601517
20     347.345581  347.714291
21     315.448792  315.326069
22     387.306030  387.250484
23     316.343567  316.427880
24     347.645996  348.041694
25     373.360016  373.397395
26     422.836243  422.486935
27     389.224365  389.265415
28     430.437500  430.481165
29     419.233978  418.950385
30     369.203766  369.332772
31     370.955139  370.971130
32     425.939240  425.688272
33     376.776184  376.667937
34     413.049316  412.787570
35     426.445099  426.220007
36     429.056061  429.022466
37     423.188293  423.006641
38     377.247314  377.227481
39     327.756348  326.402930
40     344.152374  344.033112
41     321.435883  320.820528
42     376.948425  377.717803
43     393.936005  393.896055
44     370.728729  371.227080
45     429.705780  429.727991
46     333.457245  332.454062
47     342.536560  342.484918
48     347.516144  352.077087
49     371.910522  371.546529
50     379.040344  380.081954
51     361.990692  362.286984
52     426.926727  426.639601
53     383.151764  383.136769
54     403.170288  403.064280
55     353.659729  353.974758
56     415.157928  414.869124
57     358.874451  359.092976
58     359.731537  365.618517
59     427.086517  426.842264
60     376.249207  376.217414
61     340.312653  340.192294
62     312.629395  312.883382
63     429.250916  429.276518
64     364.994812  364.466113
65     394.818542  394.695313
66     383.296967  383.212615
67     391.322479  391.323125
68     427.911804  427.702916
69     375.666107  375.482537
70     367.275330  367.260104
71     332.254517  332.673305
72     421.056061  420.607246
73     364.579254  364.824694
74     413.347595  413.129859
75     418.310089  418.016517
76     367.563568  367.309950
77     379.159271  386.836585
78     337.765625  337.483200
79     416.275818  415.973561
80     428.529541  428.414426
81     370.175751  370.275302
82     399.238831  399.160020
83     397.344727  397.318312
84     371.630066  371.724673
85     400.205322  400.153048
86     400.122253  400.008741
87     318.502930  317.906660
88     385.283203  385.181177
89     394.060944  394.039866
90     399.031464  399.136576
91     369.934418  370.293416
92     403.460205  403.359222
93     426.717407  426.496697
94     364.490234  364.203456
95     426.712158  426.490988
96     371.744171  372.198267
97     428.929596  428.855917
98     375.499451  375.598115
99     393.113800  392.995500
100    392.022552  391.942191
101    379.369324  379.380521
102    348.789825  347.938432
103    371.414032  371.911356
104    429.737946  429.756225
105    311.196320  311.106880
106    344.388367  344.524439
107    429.021606  428.919824
108    376.024139  376.409205
109    395.073273  395.001172
110    370.545013  370.276459
111    404.195679  404.069530
112    383.486481  383.439846
113    356.031128  355.938554
114    332.474335  332.062256
115    427.714264  427.504174
116    427.159607  426.888958
117    402.736145  402.721968
118    379.329529  379.329281
119    370.293091  370.146372
120    371.816559  372.066589
121    412.166687  412.214949
122    370.372101  370.522750
123    393.021545  392.923491
124    324.154724  324.297801
125    390.787048  390.724154
126    344.016296  343.772474
127    359.276489  359.259432
128    355.003723  354.561494
129    429.495422  429.602641
130    345.823120  345.516087
131    335.129364  335.603399
132    343.506622  347.825322
133    353.229950  353.563595
134    429.713409  429.639155
135    388.259552  388.235985
136    402.280121  402.198438
137    349.623108  349.580016
138    428.310333  428.132634
139    363.579834  363.223789
140    365.743835  365.728705
141    413.932983  413.653760
142    420.278748  420.246689
143    429.628143  429.837037
144    385.698608  385.685002
145    324.788055  323.926532
146    388.063751  387.947066
147    425.564240  425.345497
148    381.505432  381.501112
149    427.854950  427.700456
150    369.444061  369.364783
151    374.891724  374.863265
152    406.167908  406.074572
153    426.478363  426.175066
154    428.219360  428.086312
155    361.508087  361.617494
156    379.189026  379.245448
157    371.170166  371.182610
158    407.461273  407.315789
